run,group,mean offset from Borghi [Gyr],d age / d z [Gyr],galaxies per bin
old,high sigma,0.20017970469193191,0.5601039282227676,1
old,low sigma,1.1787512347022506,-3.6151032809810597,3
new,high sigma,0.9759153896457177,-3.0239696190141077,1
new,low sigma,1.9989471289921292,-1.5354596608087783,3
