object_id,dust_index_q16,dust_index_q50,dust_index_q84
172669,-0.9927781989473266,-0.9747171616631404,-0.9405105120263237
233129,-0.9986279326967249,-0.9947813312384721,-0.9867076047983622
210210,-0.9982077830597964,-0.9923818371264173,-0.9800706223945636
181945,-0.9963000702312437,-0.9862792634834953,-0.9664799158714009
133501,-0.996818162159642,-0.9878416067835437,-0.969267114012528
38648,-0.9055613623559005,-0.8421747375332641,-0.7775258141396293
226316,-0.9875338920568553,-0.9478753123766204,-0.8398276378597062
233169,-0.9868643467345493,-0.9438959283044898,-0.5095744357944827
134391,-0.9728546751355773,-0.922477681650352,-0.8535299860540831
130052,-0.9371314659265362,-0.3001515699873094,0.19277640168182889
160400,-0.9974561441400215,-0.9901757972028117,-0.973978510270354
245252,-0.998254772335827,-0.9932483707256473,-0.982884127443393
205742,-0.9973247148455081,-0.9892719341113239,-0.9728982215882578
213772,-0.9979202573250536,-0.9919806812146261,-0.9803237884466796
150848,-0.9978754594663884,-0.9920460263966293,-0.9802925548976397
161346,-0.9934939480058971,-0.9744962056962816,-0.9330538160642169
162149,-0.994312380541546,-0.9782899078972755,-0.9439532309797308
231276,-0.997429216864334,-0.9900020542991788,-0.9744543540069093
113852,-0.9979865171636362,-0.9918444740958332,-0.9794204967908102
213004,0.37372874341460083,0.3897428425480955,0.397376294462874
105474,-0.8154810027278877,-0.7243004655755555,-0.6313284834057457
228215,-0.9960542217638253,-0.98494679977062,-0.9651042370172951
218207,0.31925647573395866,0.3668484240312053,0.39157817787451304
216730,-0.9901326155145744,-0.962957630513171,-0.9145507635457756
232627,-0.8542260101332022,-0.46341765593727713,-0.030487751858662322
228380,-0.9811857444741661,-0.9380231707169238,-0.8691097080252569
117400,-0.9972969211338082,-0.9897435606512792,-0.9708433840172994
257455,-0.9950021702933005,-0.9814552983630964,-0.9509345597085277
250391,-0.3547379122825735,-0.24097711762098936,-0.1083410178806015
215585,0.2750139242843885,0.3395531729206867,0.3822749745669275
119474,-0.9941416852982616,-0.9769636423352138,-0.9355703001115785
206669,-0.9849395430248605,-0.9357170150099954,-0.8228080954947407
211157,-0.9959797916294444,-0.9851349306500642,-0.9613408216994822
102456,-0.9965626112398468,-0.986701396633509,-0.9670068268604516
91529,-0.8913758111502795,-0.3239663514790026,-0.10264720568745081
238314,-0.9961198851603567,-0.9850810234554868,-0.9640997039776319
77632,-0.9972217301199863,-0.9888578009773534,-0.9706367752926623
124231,-0.9851788822345416,-0.9490487543025145,-0.8853814691743701
221163,-0.9983551351737463,-0.9935781434125648,-0.9838542138235155
206858,-0.9862862561811058,-0.9491136882765185,-0.8767598061659795
205715,-0.9984142723654104,-0.993493408882873,-0.9828203081777013
148698,-0.9820062477909435,-0.9311668308157757,-0.8275108608664907
229551,0.05803295486385152,0.30781693411883926,0.3771913904113659
111390,-0.997599458193758,-0.990775398858022,-0.9764849351963706
236994,-0.9911072411060368,-0.9677689540467383,-0.925850556050612
236682,-0.9980847393466163,-0.9924783088271062,-0.9804019957661901
124875,-0.9974094578063005,-0.9905025166827872,-0.976224774722615
206545,-0.9966428384112431,-0.9867400531984643,-0.9657771590855059
232962,-0.9977689307005106,-0.9908798301067314,-0.9769593364541107
77745,-0.9963836971110651,-0.9852771653446123,-0.9618575544770427
218701,-0.9899723871478919,-0.9601575766239081,-0.8909930961657518
248217,-0.040290127435009315,0.1337272335947334,0.2842296488598808
94494,-0.997376406078492,-0.9899797683189878,-0.9741851947633778
206501,-0.9956997354166727,-0.9838658870085896,-0.9606996492164298
147539,-0.9969641708784305,-0.9883807522814989,-0.9703978973742287
184916,-0.9949331657240698,-0.9812607644449111,-0.9537132724186329
147849,-0.9973046034896961,-0.9891245982210713,-0.9709207528609107
227516,-0.9983993852643761,-0.9935493093225,-0.9833954673481655
211347,-0.9956383936803919,-0.9828390242288473,-0.956916461670358
226721,-0.9853073041159917,-0.9467137493573599,-0.8747162810438339
244738,-0.9968762668716822,-0.9877664019649307,-0.9692023474544972
120308,-0.9966970411183419,-0.9873926165745587,-0.9678945555968944
241189,-0.9966952088785512,-0.9875137085082317,-0.9657611372779135
232005,-0.9523966470333978,-0.8566440898441329,-0.7372153304354968
225441,-0.9029513157906626,-0.7290775322988589,-0.4843936191941479
211767,-0.9975800724158034,-0.990900935451237,-0.9792363820216038
139423,-0.7242137137548437,-0.6076526785653704,-0.48735933198122283
125213,-0.9968602068103656,-0.9880362176286779,-0.9684979328584757
31835,-0.10881985812159467,0.1351827885113969,0.2933003862876177
213587,-0.995363296742056,-0.9822169196505948,-0.9551720892175732
246149,-0.9961988302544097,-0.985236491867919,-0.9609603067753175
231544,-0.9558030045322473,-0.7820086754840805,-0.29532455639982913
128311,-0.9976450282439544,-0.9901004659677564,-0.9746855903687462
122242,-0.9961860790656788,-0.9845954761809768,-0.9604025623371294
134021,-0.8285751577302547,-0.7360529800992718,-0.6475516791833205
119802,-0.9876137239910355,-0.9596900242056301,-0.9183988207272331
208364,-0.9954957851270725,-0.9840871546943808,-0.9576371937880964
165871,-0.9954543656754654,-0.9824761255631842,-0.9565813948323901
237437,-0.9867155564497967,-0.9497793995697353,-0.889960377790712
244239,-0.9958320014254034,-0.983815481918921,-0.9622405979754943
238580,-0.9916505734846199,-0.9683121631664102,-0.9179647150822084
109713,-0.9879259942447498,-0.9564120648678732,-0.9072332667115552
117694,-0.9923973695911901,-0.9702183373047834,-0.9033560956538988
197591,-0.9957071891643563,-0.9843388660887255,-0.9609419713336932
109352,-0.9739222001364402,-0.9141900295668359,-0.8358788300177289
107362,-0.9974201176476023,-0.9904665111453128,-0.9748487321225998
37723,-0.9941125679334181,-0.9769354219620882,-0.9401362000264092
230747,-0.008964593662130847,0.16302290200249603,0.3112344047439309
88032,0.031083431757710497,0.22020670546567195,0.33800997038371616
229883,-0.9971038615228933,-0.9888953067813793,-0.9714615485595418
243871,-0.9885217487616363,-0.9591861430480597,-0.9004731473145353
180774,-0.9824962868100149,-0.9320192942462874,-0.8265644157471087
230983,-0.2803487726721942,0.005590811516644663,0.23194261671947775
185653,0.08676458842130237,0.2574342521533074,0.3597149456611992
108989,-0.1332354143072536,0.14262204020466138,0.315911556279321
27068,-0.711413310538171,-0.63611918303033,-0.5570035114061923
216899,0.2507971772257268,0.3578542175841888,0.3904976642726766
37023,-0.9897783654815528,-0.9629759130226223,-0.9158722472744754
107643,-0.9940643842488617,-0.9768583081547307,-0.9414586418516605
123161,-0.982619293040166,-0.9298175125792411,-0.8289275203620744
147270,-0.9935918599359844,-0.9746867391413144,-0.9366367190465757
225431,-0.993213272703377,-0.9731832825408178,-0.9329572884120144
248829,-0.015573152736984168,0.15136803749385733,0.26985260268763916
212391,-0.635326780489865,-0.23040186857473327,0.11966542336023447
227672,-0.8070437636764324,-0.622139211269887,-0.45568107032107197
237641,-0.9575290690423631,-0.8878224830940779,-0.7975781141386681
146213,-0.9917284323911985,-0.9689888154273338,-0.9248490354710214
214296,-0.5274559195689582,-0.35164867679690825,-0.16052930942137433
233902,-0.9957054479539389,-0.9827911737669963,-0.9555876341152723
120372,-0.99912038195398,-0.9966193714046179,-0.9914716264832956
