parameter,off_q16,off_q50,off_q84,on_q16,on_q50,on_q84,on_minus_off
mass-weighted age [Gyr],4.946653901656002,5.0747215593442165,5.187970309368522,4.516972527102089,4.6669780627531114,4.854584733469919,-0.4077434965911051
[Fe/H] [dex],-0.20807719972372518,-0.1814624531778104,-0.165637467869852,-0.17925365364717316,-0.15838669369598102,-0.1378766500553028,0.023075759481829383
[alpha/Fe] [dex],0.04077048764260644,0.05030468689514972,0.06081948950925087,0.03707501777001736,0.04753276827459098,0.05794497865281138,-0.0027719186205587415
log10(M*/Msun),11.5770242913954,11.587495940502672,11.59837516893654,11.523619430312195,11.536276158392127,11.552343259960075,-0.0512197821105449
tau_dust,0.34196664116091396,0.352888696777937,0.36441171835296826,0.3032746644007514,0.31761704180068473,0.33177242583649025,-0.035271654977252265
dust index,-0.9984298633310147,-0.9939584693302446,-0.9844087716711598,-0.9972035104010188,-0.9888758661204065,-0.9717414115892019,0.00508260320983811
