,order,tau_max,seed,lnZ,lnZ_err,n_pix,spec_chi2_raw,spec_chi2_fref,spec_chi2_stored,phot_chi2,phot_n,ess,passed,calls,wall_s,logmass_q50,logmass_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,feh_q50,feh_hw,dust_index_q50,dust_index_hw,t20_q50,t20_hw,t50_q50,t50_hw,t80_q50,t80_hw,u_pull,zred_q50,zred_hw,sigma_smooth_q50,sigma_smooth_hw,dust_ratio_q50,dust_ratio_hw
off,10,1.0,20260832,231432.38865887557,0.2153890143230602,3523,10855.536754051362,3357.204053148994,3346.465266441212,146.81570024622354,28,4559.984623982968,True,8424501,914.9294349215925,11.587495940502597,0.010675438770596735,0.05030468689515499,0.010024500933321804,0.3528886967779431,0.011222538596031312,5.074721559344109,0.12065820385654336,2.7273569690695973,0.06362923084995664,-0.18146245317781196,0.021219865926935255,-0.9939584693301582,0.007010545830332504,3.6373563450234947,0.1104666498650606,5.171310574072927,0.20623495189821028,6.6082490228331565,0.0830866869131417,-7.380790659545907,0.6542181652487983,1.5812090595090922e-05,267.2693747482906,3.1461897581880294,,
on,10,1.0,20260832,231446.94918260063,0.24188854428619116,3523,10840.86593803044,3353.01399555438,3404.011029575419,118.16160460401748,28,4930.281454697435,True,8709803,3373.4444830911234,11.58455361879136,0.010439786551704522,0.05446003010409752,0.01093471161862904,0.33222461734297326,0.011243983344071645,5.135185754174504,0.11854800110010988,2.694378081931964,0.06222021229663843,-0.1844229870967724,0.01972449450838465,-0.9921996455456514,0.008742514202381368,3.720125864102348,0.11583935657984101,5.245512028109358,0.20214447148420334,6.637929604447727,0.08085778859368187,-6.305617161775202,0.6542189381680362,1.4891422525975528e-05,266.5255030724488,3.018850405497858,1.3754993747187862,0.22074650424029796
m3,10,1.0,20260832,231501.8633756416,0.3984031175136252,3523,10725.274541116642,3321.7737914677446,3740.9743103666083,48.044795766832394,28,4266.542952334483,True,8257747,274.5843797409907,11.538053189569531,0.012274962602399242,0.06865156788365662,0.00929396183638552,0.14116689061679882,0.015505014697623776,5.143654489640578,0.12950715389994993,2.4642239489068833,0.05778660773118549,-0.11731576319621784,0.02268480852925492,-2.3614142076542866,0.15136883536232681,3.717707795469895,0.12978324902092275,5.26842262404619,0.20764908511904245,6.64709384282246,0.08305963404761663,0.057226671716117804,0.6542226583130967,1.4520374199522568e-05,262.50356564239536,2.948022276575472,,
