arm,us_per_call,ratio_to_fixed,max_abs_dlnL,max_rel_dlnL
"fixed z, sigma",114.42999995779246,1.0,,
"free sigma, current",192.05750024411827,1.678384167744112,,
"free sigma, baked",163.38499961420894,1.4278161292884168,9.313225746154785e-10,9.185465573942033e-15
"free z, current",198.13416991382837,1.7314879838059094,,
"free z, baked",124.97833988163619,1.092181595103858,3.026798367500305e-09,1.843591544641801e-14
"free z, sigma, current",266.83167030569166,2.331833176650464,,
"free z, sigma, baked, 2n pad",205.8941702125594,1.7993023707812945,3.259629011154175e-09,3.0336862230611993e-15
"free z, sigma, baked",159.89249979611486,1.397295288430405,2.7939677238464355e-09,2.3298862351572137e-14
