# Paper velocity-dispersion regime: sigma > 215 km/s (high_sigma).
# Spectrum-level subset of the Borghi (2022)-LEGA-C DR2 match.
# The 215 km/s split uses the measured SIGMA_STARS_PRIME point estimate, as in the papers.
# Repeat spectra are retained; consult the object audit before treating rows as unique galaxies.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
107643	M4_107643	legac_M4_107643_v2.0.fits	1	150.185501	2.044087	0.011727	0.734300	248.2	13.1	high_sigma	3.393	0.774	0.892	0.103	0.073	0.092	0.119	0.078	0.097	1	1	0	0	0	0	21.0	19.0	28.0	0.051800	0.015900	0.091000	0.016000	0.453000	0.434300	4.870100	0.442900	5.762300	0.783900	1.999100	0.447100	2.338100	0.771100	5.022800	0.807200	1.875400	1.454500	-0.603100	0.363700	-3.430800	0.423000	1.155100	0.253900	-0.145500	0.404200	NaN	NaN
108989	M4_108989	legac_M4_108989_v2.0.fits	1	150.218445	2.057750	0.017356	0.827800	310.3	12.1	high_sigma	4.028	0.563	0.642	0.067	0.071	0.066	0.060	0.045	0.047	1	1	0	0	0	0	21.3	27.0	35.9	0.127500	0.016600	0.164600	0.016800	0.988300	0.221700	4.643300	0.435900	4.403900	0.559500	0.798900	0.192800	3.474800	0.603100	7.828900	0.658600	NaN	NaN	-1.566700	0.309000	-3.668100	0.486200	0.858400	0.192400	-0.930200	0.352400	1.781200	0.015500
117400	M4_117400	legac_M4_117400_v2.0.fits	1	150.242172	2.168501	0.008690	0.668700	245.6	7.6	high_sigma	3.690	0.461	0.311	0.204	0.040	0.052	0.245	0.043	0.026	1	1	0	0	0	0	36.1	36.6	48.3	0.070800	0.009100	0.106900	0.009200	0.968800	0.132000	4.992600	0.209800	3.868300	0.490300	1.129100	0.156100	3.293700	0.396800	5.677000	0.746900	1.619700	0.178300	-0.797500	0.238300	-4.035300	0.278600	0.718900	0.168300	-0.705700	0.263700	1.864300	0.013900
118552	M4_118552	legac_M4_118552_v2.0.fits	1	150.368347	2.183035	0.020361	0.622500	231.8	8.8	high_sigma	2.159	0.120	0.112	0.464	0.032	0.035	0.241	0.023	0.023	1	1	0	0	0	0	34.9	25.0	44.9	0.076800	0.010700	0.112100	0.011000	0.804300	0.235600	4.319600	0.318700	3.581300	0.352200	1.374000	0.379400	2.779300	0.431600	8.602300	0.728600	1.782500	0.290900	-0.929900	0.318100	-3.651400	0.258000	0.604900	0.221100	-0.713500	0.233300	NaN	NaN
128311	M5_128311	legac_M5_128311_v2.0.fits	1	150.056686	2.301382	0.014927	0.730300	276.2	10.5	high_sigma	3.184	0.279	0.334	0.201	0.038	0.041	0.118	0.026	0.030	1	1	0	0	0	0	26.0	30.2	39.6	0.045500	0.008800	0.084900	0.008800	1.154500	0.196900	4.352600	0.272400	4.195200	0.531700	0.860400	0.248400	2.193800	0.457400	6.826500	0.625600	NaN	NaN	-0.565200	0.229400	-4.303000	0.269100	0.853900	0.163900	-0.723900	0.235400	1.779300	0.013800
135659	M5_135659	legac_M5_135659_v2.0.fits	1	149.997833	2.389796	0.018500	0.842200	252.8	11.2	high_sigma	1.724	0.112	0.073	0.505	0.035	0.081	0.157	0.028	0.029	1	1	0	0	0	0	22.8	24.6	32.9	0.021200	0.011800	0.056700	0.011900	1.369600	0.261000	4.434500	0.434700	4.354800	0.380000	1.114200	0.185700	1.458200	0.741600	8.303900	0.860600	0.000000	NaN	0.197800	0.291600	-3.013100	0.391400	1.341100	0.214400	-0.524000	0.360700	1.679000	0.016800
174876	M5_174876	legac_M5_174876_v2.0.fits	1	149.894806	2.386428	0.016203	0.722500	274.6	8.8	high_sigma	3.116	0.192	0.211	0.083	0.026	0.032	0.044	0.021	0.023	1	1	0	0	0	0	33.1	35.1	46.0	0.035000	0.007800	0.070800	0.007800	0.683600	0.213600	4.200500	0.260500	4.195500	0.434600	1.516200	0.164900	2.352900	0.483100	5.220900	0.552700	1.809900	0.321100	-0.637700	0.203700	-3.591600	0.226800	0.702200	0.146500	-0.490400	0.211900	1.761300	0.011300
211767	M5_211767	legac_M5_211767_v2.0.fits	1	150.059875	2.536365	0.024148	0.667400	239.4	9.0	high_sigma	2.909	0.290	0.249	0.126	0.040	0.053	0.041	0.024	0.024	1	1	0	0	0	0	28.5	29.5	38.6	0.044500	0.010700	0.082400	0.010500	0.939500	0.162900	3.692600	0.268200	3.686400	0.673400	0.949600	0.186100	2.365500	0.443000	5.072300	0.780900	1.661200	0.222500	-0.692800	0.283700	-3.483400	0.447000	0.906000	0.201900	-0.711600	0.507700	1.749600	0.015700
236682	M5_236682	legac_M5_236682_v2.0.fits	1	149.871796	2.479084	0.021289	0.734200	227.6	7.6	high_sigma	3.256	0.199	0.254	0.097	0.028	0.025	0.179	0.030	0.032	1	1	0	0	0	0	31.6	32.9	46.0	0.046100	0.009300	0.085900	0.009400	0.662500	0.247700	4.266000	0.268200	3.557300	0.530800	1.420900	0.262500	2.695800	0.558300	5.990300	0.553500	1.165300	0.558000	-0.321200	0.210700	-3.354500	0.244100	1.130200	0.147300	-0.738100	0.234300	1.705400	0.012200
239469	M5_239469	legac_M5_239469_v2.0.fits	1	149.887482	2.513143	0.012589	0.735700	295.0	9.9	high_sigma	2.621	0.264	0.264	0.422	0.032	0.038	0.286	0.022	0.022	1	1	0	0	0	0	26.2	28.6	37.4	0.078500	0.011400	0.118100	0.011400	0.821200	0.251700	5.040300	0.290700	4.191100	0.578700	1.379000	0.280800	2.872600	0.475500	7.634200	0.572900	2.746800	0.497900	-0.375300	0.238200	-4.586700	0.295700	1.145200	0.168700	-0.823300	0.279200	1.838800	0.015400
