# One row per unique Borghi (2022) galaxy.
# ambiguous_repeat_spectra means public DR2 repeat spectra fall on opposite sides of 215 km/s.
# No preferred repeat-spectrum SPECT_ID is documented in the papers, so no silent object-level assignment is made.
mms2013_id	dr2_observations_for_object	dr2_spect_ids	dr2_sigma_stars_prime_values_km_s	sigma_regime_215_km_s	sigma_split_note
211401	1	M6_211401	240.1	high_sigma	single_spectrum
211736	1	M6_211736	219.6	high_sigma	single_spectrum
211767	1	M5_211767	239.4	high_sigma	single_spectrum
212391	1	M9_212391	222.3	high_sigma	single_spectrum
213004	1	M11_213004	247.7	high_sigma	single_spectrum
213141	1	M11_213141	156.4	low_sigma	single_spectrum
213449	1	M13_213449	218.2	high_sigma	single_spectrum
213772	1	M10_213772	270.4	high_sigma	single_spectrum
214324	1	M9_214324	222.6	high_sigma	single_spectrum
214899	1	M9_214899	171.5	low_sigma	single_spectrum
215424	1	M9_215424	244.7	high_sigma	single_spectrum
215449	1	M13_215449	222.3	high_sigma	single_spectrum
215585	1	M11_215585	303.7	high_sigma	single_spectrum
215951	1	M13_215951	160.4	low_sigma	single_spectrum
216353	1	M11_216353	185.9	low_sigma	single_spectrum
216897	1	M13_216897	226.7	high_sigma	single_spectrum
217260	1	M11_217260	226.9	high_sigma	single_spectrum
218701	1	M9_218701	177.1	low_sigma	single_spectrum
219324	1	M11_219324	149.9	low_sigma	single_spectrum
219726	1	M13_219726	267.4	high_sigma	single_spectrum
219831	2	M10_219831;M9_219831	217.1;188.8	ambiguous_repeat_spectra	repeat_spectra_straddle_215_km_s
221163	1	M11_221163	220.5	high_sigma	single_spectrum
225431	1	M9_225431	205.4	low_sigma	single_spectrum
225441	1	M10_225441	171.1	low_sigma	single_spectrum
226721	1	M11_226721	211.0	low_sigma	single_spectrum
227516	1	M10_227516	252.2	high_sigma	single_spectrum
227965	1	M9_227965	241.6	high_sigma	single_spectrum
228215	1	M10_228215	228.6	high_sigma	single_spectrum
228380	1	M10_228380	259.5	high_sigma	single_spectrum
229551	1	M11_229551	209.5	low_sigma	single_spectrum
229591	1	M11_229591	178.2	low_sigma	single_spectrum
230747	1	M13_230747	161.3	low_sigma	single_spectrum
231276	1	M9_231276	238.1	high_sigma	single_spectrum
231544	2	M10_231544;M9_231544	169.4;164.4	low_sigma	repeat_spectra_agree_on_regime
231554	1	M13_231554	151.3	low_sigma	single_spectrum
232962	1	M11_232962	230.4	high_sigma	single_spectrum
236682	1	M5_236682	227.6	high_sigma	single_spectrum
237437	1	M6_237437	213.9	low_sigma	single_spectrum
238668	1	M5_238668	163.1	low_sigma	single_spectrum
239469	1	M5_239469	295.0	high_sigma	single_spectrum
240174	1	M5_240174	192.6	low_sigma	single_spectrum
243871	1	M13_243871	213.6	low_sigma	single_spectrum
244738	1	M11_244738	212.8	low_sigma	single_spectrum
245252	1	M11_245252	266.6	high_sigma	single_spectrum
246149	1	M13_246149	213.7	low_sigma	single_spectrum
247826	1	M11_247826	251.3	high_sigma	single_spectrum
248829	1	M11_248829	164.8	low_sigma	single_spectrum
259363	1	M11_259363	144.7	low_sigma	single_spectrum
