# Paper velocity-dispersion regime: sigma < 215 km/s (low_sigma).
# Spectrum-level subset of the Borghi (2022)-LEGA-C DR2 match.
# The 215 km/s split uses the measured SIGMA_STARS_PRIME point estimate, as in the papers.
# Repeat spectra are retained; consult the object audit before treating rows as unique galaxies.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
210940	M2_210940	legac_M2_210940_v2.0.fits	1	150.172913	2.528097	0.014515	0.694900	158.1	11.9	low_sigma	3.406	1.021	1.367	-0.050	0.111	0.188	0.160	0.107	0.119	1	1	0	0	0	0	13.7	9.2	18.6	0.028100	0.055200	0.083000	0.049000	1.528500	0.429700	3.446700	1.532700	4.339300	1.121300	0.430600	0.628500	1.262200	1.373400	4.774000	2.585500	1.122300	0.778400	-0.528200	1.675500	-2.527200	1.470800	1.144900	1.307100	-0.060700	1.322600	NaN	NaN
108361	M3_108361	legac_M3_108361_v2.0.fits	1	150.287094	2.053356	0.020827	0.621700	144.6	6.6	low_sigma	4.210	0.389	0.509	0.096	0.046	0.046	0.291	0.042	0.043	1	1	0	0	0	0	25.9	19.6	31.2	0.073900	0.013700	0.115300	0.013800	1.025400	0.316600	4.393500	0.427100	3.970600	0.445800	0.913000	0.436700	2.015400	0.746100	6.451600	0.917200	1.876200	0.467200	-0.546600	0.392500	-3.748600	0.347100	0.980000	0.275700	-0.917200	0.317900	NaN	NaN
109713	M3_109713	legac_M3_109713_v2.0.fits	1	150.142517	2.069357	0.015254	0.727500	181.9	7.8	low_sigma	4.216	0.496	0.465	-0.176	0.039	0.038	0.111	0.050	0.053	1	1	0	0	0	0	24.2	24.6	32.7	-0.005300	0.010900	0.037000	0.010900	1.070000	0.284700	3.703300	0.359100	3.475900	0.740900	0.915600	0.336600	1.486000	0.690200	5.483600	0.755500	2.175200	0.450800	0.669700	0.280200	-1.613000	0.342500	1.778400	0.204000	0.720300	0.270400	1.630500	0.015000
119802	M3_119802	legac_M3_119802_v2.0.fits	1	150.103607	2.197922	0.012429	0.682000	202.0	12.2	low_sigma	3.231	0.404	0.496	-0.091	0.045	0.055	0.118	0.058	0.055	1	1	0	0	0	0	25.4	22.4	33.1	0.030800	0.013900	0.061600	0.013700	1.057500	0.197000	3.539200	0.467600	3.152700	0.713500	0.963700	0.274300	2.057300	0.654700	1.932400	1.291700	1.283700	0.254600	0.510800	0.390600	-2.928500	0.536600	1.528900	0.293700	-0.120300	0.488800	NaN	NaN
116829	M4_116829	legac_M4_116829_v2.0.fits	1	150.199844	2.162263	0.018876	0.668300	145.8	7.6	low_sigma	2.334	0.253	0.312	0.255	0.061	0.056	-0.063	0.039	0.042	1	1	0	0	0	0	20.6	17.5	27.5	0.051900	0.018800	0.098400	0.018800	0.744200	0.263600	3.578300	0.421600	5.348700	0.886300	1.010900	0.299000	3.525900	0.663500	5.635200	1.441700	1.140900	0.320500	-0.678200	0.508100	-4.065400	0.528500	0.449900	0.365400	-0.872900	0.497200	NaN	NaN
123161	M4_123161	legac_M4_123161_v2.0.fits	1	150.206177	2.240010	0.011663	0.799500	195.7	9.2	low_sigma	1.580	0.125	0.072	0.235	0.018	0.053	0.028	0.036	0.033	1	1	0	0	0	0	21.0	23.4	31.6	-0.000800	0.012300	0.045800	0.012800	1.566400	0.589900	2.680400	0.575600	2.694000	0.921900	1.038800	0.347200	2.206200	0.370200	5.160800	1.650500	2.400000	0.515000	1.033700	0.399100	-1.313400	0.501200	1.898900	0.261700	0.915300	0.472100	1.715400	0.018400
125149	M4_125149	legac_M4_125149_v2.0.fits	1	150.359360	2.265852	0.007169	0.665100	204.3	8.3	low_sigma	3.917	0.518	0.552	-0.128	0.041	0.043	0.316	0.051	0.052	1	1	0	0	0	0	30.5	26.4	42.2	0.039100	0.012000	0.074100	0.011600	0.763700	0.173600	4.047500	0.271600	3.193900	0.566400	1.002100	0.195300	0.890000	0.394400	3.849300	0.838700	1.863200	0.209100	-0.184000	0.312200	-2.217700	0.308400	0.833100	0.235500	0.040200	0.310500	NaN	NaN
165871	M5_165871	legac_M5_165871_v2.0.fits	1	149.854034	2.282955	0.023841	0.703100	184.8	7.6	low_sigma	1.729	0.144	0.093	0.237	0.033	0.080	0.111	0.038	0.039	1	1	0	0	0	0	25.0	23.7	33.7	0.006100	0.011400	0.050900	0.011200	0.618500	0.205000	4.519600	0.509300	3.625000	0.497800	1.511000	0.420800	3.282800	0.514800	6.747600	0.871000	3.612300	0.410700	0.591700	0.317900	-1.801500	0.408800	1.878900	0.231800	0.546100	0.358400	NaN	NaN
171079	M5_171079	legac_M5_171079_v2.0.fits	1	149.893417	2.344078	0.011784	0.753600	191.0	10.2	low_sigma	3.570	0.646	0.915	-0.122	0.072	0.067	0.085	0.082	0.081	1	1	0	0	0	0	13.9	15.8	19.5	0.005500	0.022500	0.045400	0.022500	0.470500	0.307000	3.975800	0.540900	4.347600	0.982900	1.022500	0.501400	2.490900	0.895100	4.754200	0.999200	1.442700	0.516500	0.105100	0.452900	-2.655200	0.754200	1.222900	0.330200	-0.684800	0.833700	1.715400	0.026200
205715	M5_205715	legac_M5_205715_v2.0.fits	1	150.012100	2.459093	0.011166	0.746500	200.6	7.0	low_sigma	3.042	0.133	0.143	0.153	0.023	0.026	0.187	0.031	0.028	1	1	0	0	0	0	33.2	34.1	48.7	0.059800	0.011500	0.106000	0.011400	0.869200	0.155600	4.096600	0.242600	3.625400	0.426400	0.953800	0.245900	2.429500	0.381700	5.537400	0.438700	1.932600	0.247500	-0.567000	0.213600	-2.740100	0.455700	1.213600	0.146400	-0.545600	0.345100	1.688800	0.012800
