target,arm,dchi2_raw,dchi2_stored,dchi2_basew,repeat_dchi2_stored,dchi2_phot,dlnZ,df_calib,dlogmass,dt50,dlog_sfr,dtau,dage
M12_185653,poly3,-308.3467961008173,-55.595075707511114,-133.72933431428055,4.374055499294627,2.629095220751175,53.21567799933837,-0.09129939236200357,0.09936294214769781,1.501064975709415,0.39318532108821813,0.08412802792906898,1.4800179194315994
M12_185653,poly3_total,-308.6060006889129,-47.69387547955648,-136.49788304654203,4.374055499294627,-25.495104073891586,67.67305431110435,-0.11247392470410578,0.20394100569376583,2.0430334804081856,2.1613279808955195,0.06527214237617743,1.9958587215607082
M12_98104,poly3,-11.902726953801903,-0.8025694341968119,-1.9928436786303791,-1.0243514939274974,-4.685128219426993,0.13238065273617394,-0.00399693963105463,-0.015654652186713136,0.04682162591406103,-0.5701849130575666,-0.041153920180401427,0.04611478385541368
M12_98104,poly3_total,-9.31672957887531,4.220637041771624,3.7491536288662246,-1.0243514939274974,-39.38437050270785,18.06231618617312,-0.0022866542997270756,0.1580297943623954,1.4469880705479103,-1.214340734559152,-0.1182003584907032,1.408497276362767
M1_206545,poly3,-4191.438925298573,-18.674518108249686,-1316.9261811092238,-5.257320713292756,-31.33221450971004,812.6296921235917,-1.9074687960364076,0.29614236278712625,2.1358739272026774,1.8132789649481282,0.3958124579344464,2.100175983676187
M1_206545,poly3_total,-4110.748313857564,-103.96611888005827,-1302.2238938117234,-5.257320713292756,-68.59875095315431,834.6683084314864,-1.7645520725427133,0.3937095310619192,2.1363395588993512,1.8239781867517564,0.2681261115467165,2.1006359384107904
M4_108989,poly3,-613.8531931556608,-61.62215851343808,-440.09225911566955,-23.806484752111828,13.498588744025085,202.31581215604092,-0.47570069497151657,-0.041707778772305915,-1.5611727264600965,0.575969107088323,0.23496554019532756,-1.5270261424736638
M4_108989,poly3_total,-467.04770133615784,-227.37625780209964,-392.5924036899796,-23.806484752111828,-126.29250416784362,250.01643672696082,-0.21867679854151056,0.17270372172841952,-0.01749458478888144,-0.13576115985554127,-0.07437088446426054,-0.009105229845734364
M5_172669,poly3,-2265.3702503587774,337.2632216427387,-193.228328607222,2.0583333442718867,-40.140693946496015,288.5364995567652,-0.2336532753722942,0.16687636593840516,0.09667551902071936,5.517952974469361,0.642437601912556,0.22116762293510073
M5_172669,poly3_total,-2233.559005140225,331.7587004135653,-191.2220411338535,2.0583333442718867,-70.79900040927954,281.7414500079758,-0.23224696504442566,0.22033514098338536,0.1118622493563517,5.519713378996865,0.5647965134885805,0.18240425380982117
M5_173928,poly3,-617.8614961100084,100.21551652165635,-27.077360865581795,0.6373554256665557,-54.681339041358214,7.594587670755573,-0.242052103888323,0.1581346879738419,2.581356434910929,-1.9125925755346742,-0.07741106186183822,2.5139569887924447
M5_173928,poly3_total,-568.5614368228198,81.65162924046354,-4.763438770901303,0.6373554256665557,-95.14621760372651,3.5164919233939145,-0.1479376407777,0.19244390856581362,1.5964116935411399,-1.8490395504099313,-0.17849970765516687,1.5558998917878766
