target,arm,z,sn,photometry,order,n_pix,spec_chi2_stored,spec_chi2_raw,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,t50_q50,t50_hw,log_sfr_q50,log_sfr_hw,P_min,P_max,P_tilt,a1_q50,a1_hw,a2_q50,a2_hw,a3_q50,a3_hw
M12_185653,baseline,0.6776310205459595,21.5,cosmos_ap3,0,3577,4016.6831193468133,10152.758023376668,36.6072940608314,233803.65179289255,0.22430647646185764,3106.008413502886,True,1020500,191.29589989222586,10.89653296378134,0.009176575277828114,-1.8815409549198865,0.025928929535381284,0.2820969401763844,0.024547589141427767,0.10643927234486752,0.011702008863407852,3.021202235517256,0.05306780069197803,6.429199732003158,0.1253181340707883,1.1177191522856107,0.01831903562984294,3.012688187065004,0.046759207158306504,-3.522436223713247,2.0810297722046007,,,,,,,,,
M12_185653,poly3,0.6776310205459595,21.5,cosmos_ap3,3,3577,3961.088043639302,9844.41122727585,39.236389281582575,233856.86747089188,0.2888803558732569,3583.903954607436,True,975000,303.4936228217557,10.995895905929038,0.053691448535058584,-2.0834414786786652,0.09180945021588238,0.2278262637040463,0.037096948923548576,0.1905673002739365,0.03314753233474192,4.5012201549488555,0.6554438650032759,6.337900339641155,0.11239371171591239,1.143108281366359,0.023386935158659306,4.513753162774419,0.8193599258105566,-3.129250902625029,2.699236224427551,0.9677314107093534,1.0410007245567758,0.02747734312392791,-0.011622755613671095,0.008699594744850263,-0.019555081254924056,0.003074459268645637,0.024295596396194594,0.0027424741589393304
M12_185653,poly3_total,0.6776310205459595,21.5,cosmos_total,3,3577,3968.989243867257,9844.152022687755,11.112189986939814,233871.32484720365,0.2611125135923976,3448.425601404076,True,981500,306.4762258916162,11.100473969475106,0.03469868736242887,-2.1809257106540816,0.07935060201943922,0.22825769126732556,0.03261768953107343,0.17171141472104495,0.029013996854259844,5.017060957077964,0.37046651832292454,6.316725807299052,0.12624781010875052,0.9800314633714657,0.024156740318829584,5.05572166747319,0.454289384805282,-1.3611082428177275,1.4452010142339051,0.9558916633256846,1.0413874691552638,0.04410923017314916,-0.004890567158412452,0.008986313964512318,-0.022383893310205516,0.002915172193113498,0.02606056733262692,0.002909053052590439
M12_98104,baseline,0.9814170002937317,6.599999904632568,cosmos_ap3,0,3804,5913.642669498456,8664.347805302334,49.47392397050168,249663.1693358897,0.33918068558426806,3472.856292675383,True,1131000,214.4582734447904,11.090396184735235,0.00985136386640395,-1.9632791830333003,0.05305959687747597,0.08447462093710906,0.03331298065641686,0.48071767365754414,0.03227604611328436,2.994862331287508,0.04481533964065587,9.98016940095868,0.01893567829095666,1.3693510501350068,0.04346371926640824,2.9951404361489167,0.052046844602233744,0.4197321177447202,1.0354198629253197,,,,,,,,,
M12_98104,poly3,0.9814170002937317,6.599999904632568,cosmos_ap3,3,3804,5912.840100064259,8652.445078348532,44.78879575107469,249663.30171654242,0.1464079404996431,3841.797667180802,True,1079000,329.0589701565914,11.074741532548522,0.04532942007487151,-2.0861758593638813,0.134205719306004,0.12982774410191514,0.04883444684135465,0.4395637534771427,0.03218006830465875,3.0409771151429217,0.4838787973723959,9.976172461327625,0.02647547587180732,1.2839150529010395,0.044996434816512276,3.0419620620629777,0.5756790863769956,-0.1504527953128464,1.2356545376622903,0.9769595467928687,1.0402873796176322,0.04307457031758277,0.024214100774253712,0.013266181261996822,0.01792873538768617,0.006382074212014221,-0.0019943104040848624,0.004689380492423007
M12_98104,poly3_total,0.9814170002937317,6.599999904632568,cosmos_total,3,3804,5917.863306540227,8655.031075723458,10.089553467793827,249681.23165207586,0.18853194441269666,4033.206449993014,True,1020500,307.66967546986416,11.24842597909763,0.026383239511360124,-2.4735868262355423,0.07453788481436852,0.1395094770247161,0.054616308606191176,0.36251731516684094,0.03540081111300383,4.403359607650275,0.2666274287466961,9.977882746658953,0.024186968949860166,0.9703163829063787,0.027351947340908234,4.442128506696827,0.4200785914030791,-0.7946086168144317,1.460928296579994,0.9434914429443892,1.0817205297407302,0.10633845192204006,0.062420279787244515,0.013602993968888092,0.02918214435873117,0.005989134611247822,-0.01073528887413094,0.005228773161155479
M1_206545,baseline,0.7282999753952026,31.399999618530273,cosmos_ap3,0,3422,4406.26319202475,12772.106470175271,133.23726288886536,222100.56098227433,0.29942844356991144,4189.381909809379,True,1202500,220.1229611299932,11.243892751666955,0.009217566505668628,-1.6605305510648283,0.01969479938345997,-0.12346136304464692,0.012196464472599741,0.18904276177055057,0.013135709643991064,2.9643098752686736,0.057700167805724956,5.712983489434014,0.12712847057182852,1.3800319737289752,0.024222576350686364,2.9351332415311884,0.049567215986161095,-0.5510664371951719,1.394594804489218,,,,,,,,,
M1_206545,poly3,0.7282999753952026,31.399999618530273,cosmos_ap3,3,3422,4387.588673916501,8580.667544876698,101.90504837915532,222913.19067439792,0.2749200861913138,3470.5769883432695,True,1384500,408.8740211832337,11.540035114454081,0.010393246044363202,-1.8000510601037056,0.020601694421145567,-0.19136073225963107,0.008074209399090287,0.584855219704997,0.020466484406011676,5.0644858589448605,0.025388023450692465,3.805514693397606,0.10851529305703655,1.7751983740677169,0.04012465739994586,5.071007168733866,0.044841924356656016,1.2622125277529563,0.03148108893130208,0.8700814501495335,1.1464225145054079,0.04350814627236077,-0.036856490800373516,0.00626104424280188,-0.11083889082022902,0.0021001141894649716,0.05622715248566164,0.0020712801784361877
M1_206545,poly3_total,0.7282999753952026,31.399999618530273,cosmos_total,3,3422,4302.297073144692,8661.358156317707,64.63851193571105,222935.2292907058,0.22050999962631557,3548.4584069101224,True,1254500,371.4692131220363,11.637602282728874,0.009219682937620988,-1.8513931588842134,0.022731620291620125,-0.19326619827093727,0.005927738740977212,0.4571688733172671,0.02129749843703682,5.064945813679464,0.014539541936547717,3.9484314168913004,0.1038052736473225,1.1618166532533682,0.030878002422987882,5.07147280043054,0.02465681596363911,1.2729117495565845,0.04072368010829297,0.8305297200617507,1.1329808788859395,0.13751315729292934,0.004379007356435283,0.007371406144006873,-0.1121088477136679,0.002746523094166474,0.0524246551342882,0.0019474814607262116
M4_108989,baseline,0.8277999758720398,21.299999237060547,cosmos_ap3,0,3735,4491.261077094774,9107.307937898877,139.14141463866127,243100.2579720119,0.2999516835143012,3602.8904167950677,True,1274000,234.63537729997188,11.638259170979815,0.0119977434058125,-1.8112594560870208,0.019602299208650975,-0.10846825058336747,0.011598886062359662,0.3272850057162856,0.01264251869756669,4.61913262855054,0.08230808611471296,4.605905022049317,0.10566894578360486,1.4837082919339837,0.0270725683496571,4.652725892897726,0.08513575194135203,0.7351922523947783,0.07942397435491477,,,,,,,,,
