,order,tau_max,seed,lnZ,lnZ_err,n_pix,spec_chi2_raw,spec_chi2_fref,spec_chi2_stored,phot_chi2,phot_n,ess,passed,calls,wall_s,logmass_q50,logmass_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,feh_q50,feh_hw,dust_index_q50,dust_index_hw,t20_q50,t20_hw,t50_q50,t50_hw,t80_q50,t80_hw,zred_q50,zred_hw,sigma_smooth_q50,sigma_smooth_hw
2015,10,1.0,20260832,231153.15541862094,0.3492780329990088,3523,10772.141553728023,3654.9731200837423,3649.1505163059937,55.021324966350285,12,4923.465370766894,True,10455667,1502.4763214918785,11.650336870175735,0.012890513029895523,0.06012956227089929,0.00962009081749787,0.4052940541618254,0.013468609829285688,5.190230879750523,0.11999429500125869,2.5234182178854523,0.050567718762996705,-0.15886136366140624,0.02152213069731479,-0.9874294331048212,0.013526467477933679,3.768634526781966,0.132530900532992,5.322581844888203,0.1738008055445257,6.668757531159265,0.06952032221781046,0.6542194811140847,1.5228251920795799e-05,263.4179028429596,3.103928198935904
classic,10,1.0,20260832,231476.7270701191,0.2374880305861564,3523,10880.550476244262,3693.953418610419,3676.511468677554,146.53046432512215,30,5499.16229105355,True,10494423,1025.7097058649815,11.654183994637135,0.011103736446933077,0.05212110415205458,0.010009970899966806,0.40713500851711815,0.012775905691492812,5.1204593474415,0.10809376355463307,2.5300846295237593,0.05103264001112073,-0.20931288199974896,0.023523977171604704,-0.9939930820910096,0.007157028497208062,3.6914689663215077,0.10959470704896068,5.249664947611846,0.1626129220146142,6.639590772248722,0.06504516880584577,0.6542194262044146,1.3267471849987e-05,267.0914703851329,2.8700039842815386
2025,10,1.0,20260832,231426.50050570903,0.2754556741831296,3523,10868.06810619352,3684.3182925946667,3661.334391703421,144.83558719730894,28,5828.81767852709,True,10788158,1064.5359211149917,11.596764083295014,0.012213541351047574,0.05139025123669593,0.009201645269889633,0.35578993373065104,0.013332987135797586,5.177903921000709,0.12542990490363604,2.539164739227478,0.048133693683796164,-0.20058150953707132,0.024817856868592947,-0.9935719574009033,0.007180835093744564,3.7545218082957597,0.14496322482821067,5.309259664923182,0.16535927700172603,6.663428659173256,0.06614371080069059,0.6542195770269372,1.4619341083210724e-05,266.61119080088963,3.2221428426552166
