target,object_id,spect_id,z,sigma_star_kms,catalogue_sn,manifest_index,seed,logmass_q16,logmass_q50,logmass_q84,logZ_abs_q16,logZ_abs_q50,logZ_abs_q84,alpha_fe_q16,alpha_fe_q50,alpha_fe_q84,tau_dust_q16,tau_dust_q50,tau_dust_q84,age_q16,age_q50,age_q84,passed,joint_chi2,joint_ndof,spectrum_chi2,spectrum_ndof,photometry_chi2,photometry_ndof,ess,lnZ,lnZ_err,n_calls,n_samples,wall_time_s,joint_chi2_per_ndof
216899-M11_216899,216899,M11_216899,0.697825014591217,193.6999969482422,21.100000381469727,96,20260926,11.072623497730843,11.105483084410325,11.14631245559816,-2.054553074252667,-1.9998445123277362,-1.9318659607924193,0.07966219979785522,0.09830504931136651,0.118561295707138,0.0798936805109766,0.10161051734974988,0.11883876702482073,4.245917465284827,4.605702599512864,5.027743029801112,True,5919.16602204306,3442,5874.166398884105,3430,44.999623158955565,12,3744.453943646808,221939.95829051503,0.23836239631826756,1248000,19700,1003.9367768159136,1.7196879785133818
217020-M10_217020,217020,M10_217020,0.8934249877929688,288.1000061035156,12.800000190734863,143,20260973,11.208161546805272,11.218939020457096,11.23183351848619,-1.3075717299727816,-1.2714572453773658,-1.2475644537202644,-0.1953430816810644,-0.18576339717026175,-0.17310599310554944,0.13400607534283734,0.15587999112983797,0.17485848394251716,2.7330983524218513,2.7823308129585778,2.928200108216609,True,3629.9838617917835,3455,3528.184081197288,3443,101.79978059449542,12,3274.9834522834517,225043.72444196785,0.2724254742470284,1124500,17800,920.2758824378252,1.050646559129315
217564-M11_217564,217564,M11_217564,0.8899400234222412,204.5,3.700000047683716,185,20261015,11.345777125342098,11.366859653743873,11.392209616727095,-2.067313105011754,-1.9581738024105364,-1.8595824938900303,0.1556424389719651,0.22960442979369072,0.29744988326019245,0.8637333011560356,0.8968858766311929,0.9337261305031282,2.785977261332209,2.9623052064956195,3.2973429378704195,True,4472.094885702663,3839,4330.4472751547855,3827,141.64761054787806,12,3480.4192535512443,249287.32688167036,0.30901508129613064,1020500,16200,862.5178932016715,1.1649114054969167
218207-M11_218207,218207,M11_218207,0.6817629933357239,164.89999389648438,36.79999923706055,22,20260852,11.309286158610888,11.317643690301356,11.326026730805001,-1.5197083670013725,-1.5067599985331013,-1.4934695738506647,-0.07861504674903808,-0.06784297144527143,-0.05625775038638955,0.38959799265953565,0.4056930145676623,0.42213769657353917,2.9991598644882917,3.011844921129436,3.065550523781974,True,3897.778099044351,3436,3700.8898791015963,3424,196.88821994275474,12,3448.365237027024,223496.43020899847,0.3935669571569242,1287000,20300,1054.3293769117445,1.1343940916892756
218701-M9_218701,218701,M9_218701,0.695285975933075,177.10000610351562,30.700000762939453,50,20260880,10.840550404966233,10.851463160089942,10.860256472868434,-1.669071360520361,-1.6468837171897073,-1.628801245545288,0.0968987609743715,0.11261995412976546,0.12995510090663856,0.06972623350935594,0.07974294720036315,0.08954321466370588,2.666494260937621,2.7180998170159674,2.784143550192155,True,4044.5531870867844,3592,4008.4886673519886,3580,36.064519734795766,12,3401.130062568767,235733.14729221593,0.26772797782655305,1176500,18600,988.657724766992,1.1259891946232696
221163-M11_221163,221163,M11_221163,0.6975380182266235,220.5,34.20000076293945,38,20260868,11.432547334240063,11.449753687385325,11.464835260063808,-1.6151403301930825,-1.5918976411860195,-1.5715828305471633,-0.05721068064140602,-0.045968900837552895,-0.03741850660167845,0.5532529361482919,0.5683973576169665,0.5794472336806838,3.7374377890604027,3.955796745788195,4.1391573654668115,True,4274.689917266455,3627,3998.9594931325664,3615,275.73042413388856,12,3275.465004224459,235507.18905872875,0.29499965860364846,1514500,23800,1287.1796114249155,1.1785745567318597
225431-M9_225431,225431,M9_225431,0.7014380097389221,205.39999389648438,19.899999618530273,101,20260931,11.06663063244649,11.084086233496262,11.10629377669673,-1.5238865027179624,-1.501427337241784,-1.4569474539758274,-0.06296815156915606,-0.05132577324052921,-0.04104588213654645,0.1266823884977593,0.1386672528310255,0.15044960031352456,2.969917726670954,3.141270145320757,3.6141883253342497,True,3769.120874283783,3451,3716.7141283340334,3439,52.40674594974969,12,3466.218858402697,225456.79192013605,0.22359267709902028,1150500,18200,971.8957058805972,1.092182229580928
225441-M10_225441,225441,M10_225441,0.6823199987411499,171.10000610351562,28.899999618530273,64,20260894,10.739116529811252,10.746731136920074,10.754211132143531,-1.7895372369139497,-1.7675695153209066,-1.7476318308365435,0.4997003245095339,0.5212863164043516,0.5418397277854198,0.1317970469005241,0.14094814893663477,0.15044361063247635,1.6511040911333086,1.6567251298293666,1.674390702210537,True,3799.754712075459,3547,3780.67500963673,3535,19.07970243872872,12,3314.3773731831093,231864.04059919273,0.19508525891609857,1189500,18800,978.31457362324,1.071258729088091
225678-M9_225678,225678,M9_225678,0.7325549721717834,176.1999969482422,12.300000190734863,149,20260979,11.177923505610188,11.209300710153318,11.244114718069493,-1.7054795965891438,-1.673346552143407,-1.6230084735993158,0.21430628291941362,0.2462972751007189,0.2770937848720902,0.6196853922560986,0.637633159736205,0.6573001883002755,4.015654297350708,4.455553865930085,4.91278413298244,True,4103.273992345345,3453,4025.3735872476773,3441,77.9004050976671,12,3568.4678968435273,225525.73397078298,0.32633308535309574,1157000,18300,1051.100597428158,1.1883214573835346
226316-M9_226316,226316,M9_226316,0.6087539792060852,197.0,51.5,6,20260836,11.415751065329696,11.430139906453725,11.43945415946147,-1.8135736524994008,-1.7956431905519545,-1.7756490473719246,0.00994788403762675,0.025786587342287268,0.040534712980628565,0.14471127371320044,0.1540979132017165,0.16449115488341864,6.179693332463619,6.287905009388338,6.327475854714177,True,3807.9482115354313,3597,3702.2792635540227,3585,105.66894798140856,12,3381.624748070375,232831.09999589415,0.25504688170217366,1235000,19500,1072.31773842033,1.0586455967571395
226721-M11_226721,226721,M11_226721,0.7373420000076294,211.0,29.0,59,20260889,11.074361215916657,11.118493326965648,11.145662718280152,-1.6465885092496222,-1.6232872908602223,-1.5963287246406692,0.01119375762987312,0.025883828486845718,0.04022657776800413,0.1861040257583,0.1964859942704028,0.20769843166536398,2.853292163690646,3.4598159633635612,3.760234421501176,True,3894.114578010365,3417,3853.661235387148,3405,40.45334262321747,12,4221.926097739955,223848.63275296363,0.3051324174959412,1280500,20200,1125.7111811684445,1.1396296687182808
