target,arm,order,dchi2_raw,dchi2_refw,dchi2_phot,dlnZ,df_calib,dlogmass,dt50,dt50_sigma,dtau,dtau_sigma,ddust_index,dage,dage_sigma,dP_tilt,dwall_s
M12_185653,poly10,10,-335.49828538814836,-112.6207219436119,-1.1264689877800294,29.052055749227293,-0.1804558111010559,-0.009728236417844371,-0.11593362839118004,-0.227513981748654,0.00013655545509663747,0.008091287785539816,0.15881705472426516,-0.10517423206304954,-0.2774560035245943,0.016773593349366234,325.5060268174857
M12_185653,poly5,5,-194.3316877186844,-65.60872922362705,-1.3242968842956664,23.252975245181005,-0.07445402705639381,-0.02888883481616311,-0.4516465954495219,-0.8863339886786609,-0.006603095677595289,-0.3912516520491104,0.14310882118971202,-0.35866297345982634,-0.9461746786870303,0.06881349390686586,40.9030347885564
M12_98104,poly10,10,-130.15125260752757,-79.93210479473419,-10.655832733795815,20.448324168362888,0.003492626846455238,0.015598823905392578,0.019351327699296483,0.036852433205729014,-0.0027649358117901035,-0.5397762808254815,0.12137763259395606,-0.003135165285393704,-0.006790988974107071,0.03952634670582311,320.0984056228772
M12_98104,poly5,5,-47.01318298957085,-24.320396640747276,-6.003818649381113,4.35655134008266,0.0016078584908925109,-0.050155638334111075,-0.6983713707649839,-1.3299699479971927,0.0001834615924353189,0.035815737789204896,-0.006400273149037905,-0.6313796759547978,-1.3676128776559517,-0.039553696167664354,65.42543026711792
M1_206545,poly10,10,-1373.0468549351508,-529.0695319640358,-18.209939712649444,304.8205726062879,-0.8164594051782732,0.062281067704594406,0.9661153744797275,17.253128183410013,-0.0009716530950275026,-0.572540615406022,0.013991701907790088,0.9815823482390114,32.091917044683484,-0.10356407333357831,411.16289428249
M1_206545,poly5,5,-60.82096214585545,-8.625248843994996,4.506582656807915,-1.8677265742735472,-0.02211768805196357,-0.0015044988545351856,0.0033283076073669093,0.059437743462724416,0.00011123558535197642,0.06554488512246957,-4.818773584835956e-05,0.0007106119106135012,0.023232791958092153,-0.025711131677976562,72.00698093604296
M4_108989,poly10,10,-1368.4456933189995,-576.8748439983246,4.107352667412066,284.3527067921241,-0.7978483519851531,0.016926934992419262,0.30844292955495956,1.479670319899468,0.003965096197435236,0.49372068341388303,-0.08888412113106359,0.2940443194631541,2.0595296568596866,0.029121329740325552,434.7096744608134
M4_108989,poly5,5,-1225.7327473332416,-502.14933825392154,1.3249433715156655,263.05783021927346,-0.7440617948068278,0.020407803463328378,0.30767882597168494,1.4760047426235305,0.004391517039394721,0.5468171983610716,-0.09366800236704165,0.28421073480127745,1.9906537837214084,-0.016015756417400717,61.11070230975747
M5_172669,poly10,10,-6959.922785303894,-802.7861141329463,-1.8460287596304372,427.1819539794815,-0.3755910669420994,0.03196906011917022,0.2964664979282805,2.811822878481876,-0.0017275152618086986,-1.4311163164001257,0.017753485179095585,0.5066977808852458,3.082213493064782,-0.06438446146322385,479.3075737571344
M5_172669,poly5,5,-1323.8196667171833,-186.80118253989122,1.1402288859677707,82.0362570436555,-0.05698022778344791,0.0020132519650779557,0.12109151330678936,1.1484868944226936,9.715292185763502e-05,0.08048388036284948,0.0011151192827149048,0.08397143842945454,0.5107934360934947,-0.0153363688868422,55.57844529580325
M5_173928,poly10,10,-4921.308490505107,-1028.219280664016,36.770972299397144,554.9618930466822,-2.1704667994865936,0.028465083380837086,0.48635919618262946,2.044075478072109,-5.514652020385813e-05,-0.0421999052857592,0.0015809435920690618,0.7422810846877281,4.782596637940589,0.22370589344258174,468.1108969319612
M5_173928,poly5,5,-1050.3893532802576,-382.431986081594,10.042055997353135,224.2570572794939,-0.49342299516380095,0.026177926072403324,0.45966379811294455,1.9318797819694977,4.0689663504872575e-05,0.031137049802371836,-0.0009240296570637296,0.641193960563375,4.131281455660817,0.15644165095019624,75.54459215700626
