target,arm,z,sn,seed,order,span_obs_aa,span_rest_aa,n_pix,spec_chi2_raw,spec_chi2_stored,spec_chi2_refw,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,occam_range_nats,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,dust_index_q50,dust_index_hw,t50_q50,t50_hw,P_min,P_max,P_tilt,max_abs_a,argmax_abs_a,a1_q50,a1_hw,a2_q50,a2_hw,a3_q50,a3_hw,a4_q50,a4_hw,a5_q50,a5_hw,a6_q50,a6_hw,a7_q50,a7_hw,a8_q50,a8_hw,a9_q50,a9_hw,a10_q50,a10_hw,mode_obs_aa,mode_rest_aa,passes_rule_obs,passes_rule_rest,order_at_limit_obs
M12_185653,poly10,0.6776310205459595,21.5,20260923,10,2468.4663,1471.4000148795683,3577,9507.11499344604,3988.4224437185503,3869.849386001376,9.766796319425817,233902.72422102964,0.2796421905802963,3383.602313145149,True,5222270,690.9998209951445,0.7793840146469364,11.064316985136125,0.02828524200206317,-1.9572946643006,0.04925203046414506,0.03657935976094917,0.03466859732851664,0.18705474672085953,0.015709272212026212,4.597465135016959,0.3448302538261654,6.114629777678033,0.1346186047822524,0.970319164308739,0.018023464127323863,0.06203356772761655,0.21295855665542085,4.673408505362264,0.5037859175899029,0.9198639326151636,1.0494949075020155,0.10358596638047857,0.033230236121748885,3,0.011927288515542176,0.006929515069252964,-0.027838965938131927,0.003526933440646668,0.033230236121748885,0.0037555668413309564,-0.01215567689720587,0.0039287734652839025,0.012365724906418853,0.0032288101280610474,0.005972852514400126,0.00307818292085037,-0.009345360738068737,0.0029567204516280417,-0.004341050665601134,0.00274324336451933,-0.00023415915346220454,0.0025085542505333663,0.00885132783444439,0.002480327223274499,246.846630859375,147.14000148795682,True,True,24
M12_185653,poly3,0.6776310205459595,21.5,20260923,3,2468.4663,1471.4000148795683,3577,9842.61327883419,3989.771921473528,3982.470107944988,10.893265307205846,233873.6721652804,0.2945060809159756,3605.461460981192,True,5563786,365.49379417765886,0.24082036918383665,11.07404522155397,0.031359667361210875,-2.1168053206385378,0.059693434478750085,0.2166650325190701,0.0343507741441315,0.1869181912657629,0.016876850597339996,4.702639367080009,0.3790663410666717,6.295085588779089,0.13204434860393643,0.9702202364596944,0.017562876286466855,-0.0967834869966486,0.25430392910849325,4.789342133753444,0.5095670494627345,0.9365432503183213,1.034469206306515,0.08681237303111233,0.025257206886287208,3,0.014833750721357838,0.00955077403334707,-0.022712033475168165,0.0026495485618726698,0.025257206886287208,0.0029327465852072784,,,,,,,,,,,,,,,822.8221028645834,490.4666716265228,True,True,24
M12_185653,poly5,0.6776310205459595,21.5,20260923,5,2468.4663,1471.4000148795683,3577,9648.281591115505,3968.3697733399354,3916.861378721361,9.56896842291018,233896.9251405256,0.33908372920696844,3428.2805276488557,True,5416521,406.39682896621525,0.3466790900349821,11.045156386737807,0.024533772814791632,-1.8933205216108322,0.050827966967306626,0.0187364289288339,0.04094033671718522,0.1803150955881676,0.020709504744963594,4.343976393620182,0.30749311429556236,6.220631561722695,0.13057336466043523,0.965599901770959,0.015138991136308122,0.04632533419306343,0.24573690075308313,4.337695538303922,0.39515890951416877,0.8823682055791354,1.0561762880643222,0.1556258669379782,0.0403131529858609,3,0.012843092171642324,0.007237528341515454,-0.02924111074283705,0.0026341415534795135,0.0403131529858609,0.0035348920788127736,-0.019480659396028006,0.002841107483507861,0.01634137955321063,0.00284432999532655,,,,,,,,,,,493.69326171875,294.28000297591365,True,True,24
M12_98104,poly10,0.9814170002937317,6.599999904632568,20261007,10,2469.0664,1246.1114474560266,3804,8540.897458971765,5842.265827498249,5842.867871826941,14.50476328200659,249687.64484676483,0.2710802832198563,3537.1897087101866,True,5347784,723.4977114927024,1.1998090409027995,11.157758231319075,0.04081937634215471,-2.115336206455322,0.090806675408724,0.05580155786895657,0.04707697338559135,0.1923039037350343,0.008641306996623077,3.9072280180407617,0.4635671358860103,9.984691176895943,0.01974303747782269,0.9116316475662158,0.02255815354368096,-0.8161059217512526,0.17065946773753576,4.065400136692915,0.5471023214057531,0.8667050820189144,1.0948322531715857,0.17727905794507137,0.07360187534192981,1,0.07360187534192981,0.015903974277431666,-0.0077318871950042365,0.008262295061529923,-0.003161489907287246,0.006978128361087847,-0.02763324461783144,0.007260038830064203,0.005671381069016506,0.006628336761922116,-0.02653769587410177,0.007510415464406532,0.00636437642592836,0.005736772742175992,0.01729936921261734,0.005347118794302136,-0.007168985682148375,0.004759729061627199,-0.012973724282703412,0.005643619425840903,246.906640625,124.61114474560266,True,True,24
M12_98104,poly3,0.9814170002937317,6.599999904632568,20261007,3,2469.0664,1246.1114474560266,3804,8671.048711579293,5922.819728587032,5922.799976621675,25.160596015802405,249667.19652259647,0.24885483811720652,3866.877369346213,True,6044080,403.3993058698252,0.33475403720458274,11.142159407413683,0.03945086075538207,-2.3152952031224747,0.13066419582762534,0.12479410428209141,0.055379326758578956,0.1950688395468244,0.005122373675926772,3.9103631833261554,0.4616654948708614,9.981198550049488,0.022023027036483178,0.8882197499530664,0.02215847701936885,-0.9374835543452087,0.07062415675323169,4.046048808993619,0.5251031211770343,0.9439185754417688,1.0933907520737391,0.13775271123924826,0.07060040441830424,1,0.07060040441830424,0.012216524004509479,0.02708116152600345,0.00667484008610149,-0.006120810661336596,0.004999374989706096,,,,,,,,,,,,,,,823.0221354166666,415.37048248534217,True,True,24
M12_98104,poly5,0.9814170002937317,6.599999904632568,20261007,5,2469.0664,1246.1114474560266,3804,8624.035528589722,5898.058644398417,5898.479579980928,19.15677736642129,249671.55307393655,0.19192019770792995,4479.671833426915,True,6069546,468.8247361369431,0.3433212127431453,11.092003769079572,0.023603405146937817,-2.054332149283327,0.06738748104032077,0.008535416163884806,0.04611739931099559,0.19525230113925973,0.004662432919907575,3.2789835073713576,0.2630192355015528,9.98280640854038,0.020191572132643998,0.9070131601909405,0.017936942919756282,-0.9438838274942466,0.06538694148542284,3.3476774382286347,0.3101200763740488,0.9402186656858387,1.0776384692221468,0.0981990150715839,0.05770061049346166,1,0.05770061049346166,0.009455135734108333,0.0075394615753701846,0.006043906628210007,-0.0013712887090219553,0.005917045148354871,-0.021219553864783858,0.005758931496967334,-0.010113908921392335,0.0041527779672989075,,,,,,,,,,,493.81328125,249.22228949120532,True,True,24
M1_206545,poly10,0.7282999753952026,31.399999618530273,20260877,10,2450.462,1417.8452519517996,3422,7609.67257970399,4333.334440607136,3694.957000871473,45.60721806026299,223193.31797028144,0.1581897209484312,4299.404404831679,True,7084980,982.2576163886115,0.490311724788171,11.613802774487784,0.007992031309939307,-2.1495634212645687,0.021705838230638097,-0.12282795278572291,0.014554934884389067,0.1974368009460783,0.0029073878565515077,6.066191701931056,0.011070817949958567,3.3489790314276764,0.10512050813713492,0.9595054453026426,0.016983053829911443,-0.9778835387875029,0.025694092521449885,6.068491313248005,0.0056430656710921845,0.8101561400630577,1.1504278229631115,0.16454217415718886,0.10978535429764816,2,0.06851185663297737,0.004491327195426893,-0.10978535429764816,0.00302494396835451,0.032928447588315105,0.0025770846458420954,-0.0009233237433374376,0.0024932394791851646,-0.016422661430812356,0.0022749235340145087,-0.004562164663755106,0.002554783610853456,-0.024013573700996917,0.0027619011210299194,0.01369736748907176,0.0026345091693952896,0.004837439745008634,0.0023712563349744305,-0.022087660481643748,0.0020341012851805076,245.04619140625,141.78452519517995,True,True,24
M1_206545,poly3,0.7282999753952026,31.399999618530273,20260877,3,2450.462,1417.8452519517996,3422,8982.71943463914,4217.367635041908,4224.026532835509,63.81715777291243,222888.49739767515,0.27949220018468374,4728.997675298446,True,8209430,571.0947221061215,0.14475783848417834,11.55152170678319,0.00817556179392831,-1.9616621168822364,0.01890221452312213,-0.1965958589527524,0.003747805691458647,0.1984084540411058,0.001697090248066413,5.084609353692045,0.030586591223961346,4.16543843660595,0.11580265187548822,0.9829443707470826,0.01748860587967843,-0.991875240695293,0.010033845499772542,5.102375938768278,0.055996533742136645,0.7874277427524575,1.1130811739547335,0.26810624749076717,0.10695980545812922,2,0.06007714042735326,0.004795524692301281,-0.10695980545812922,0.0024537823028756914,0.04519113786851348,0.001968009218654889,,,,,,,,,,,,,,,816.8206380208334,472.6150839839332,True,True,24
M1_206545,poly5,0.7282999753952026,31.399999618530273,20260877,5,2450.462,1417.8452519517996,3422,8921.898472493285,4237.489232633155,4215.401283991514,68.32374042972035,222886.62967110088,0.2769057900351822,5077.0257618354935,True,8231797,643.1017030421644,0.21791522625704474,11.550017207928654,0.00813222840986505,-1.9671253388168353,0.01989545464580056,-0.19765197842906976,0.0028962839442480265,0.19851968962645777,0.001848934452086587,5.085319965602658,0.03863056797340558,4.143320748553986,0.09959076276744794,0.9833491296384438,0.01622668539940003,-0.9919234284311413,0.010010635705550108,5.105704246375645,0.06919709591158396,0.8086805264340697,1.1123248622917719,0.2423951158127906,0.10055461762305234,2,0.058057445201416966,0.005011373090821201,-0.10055461762305234,0.0029137288081041227,0.04112602322258384,0.0026656079345646275,0.006974455823029364,0.0017833585615352654,-0.0014149310729185487,0.0016017282556442655,,,,,,,,,,,490.0923828125,283.5690503903599,True,True,24
M4_108989,poly10,0.8277999758720398,21.299999237060547,20260924,10,2415.6519,1321.617183147323,3735,7274.87585516328,4286.341448618727,3679.093245578809,20.673068520581136,243628.5683025205,0.2808939152951921,4387.157282919425,True,6692412,916.0014833426103,0.5268925038773489,11.809341172733866,0.010435217326083546,-2.016110319027455,0.024462172169211982,-0.1831771455716229,0.012803988456306661,0.1966263264994988,0.003715044879781443,4.98536085842183,0.10854991231771827,3.6130913443956407,0.1058972855968332,0.7980426675879906,0.014325838694432047,-0.976419079674831,0.02815906687503711,5.153285653695643,0.15780725148296382,0.8696843528567727,1.0840906992911696,-0.01970617063646718,0.05331896024433913,3,0.03237843573386219,0.006110673303212792,0.04151540184406894,0.003180277185915445,-0.05331896024433913,0.0026685404199903034,0.03945359664768712,0.002772857487280879,0.008556596082478905,0.002466847692116675,-0.0014388293051443924,0.0025236531853324723,0.008536022337132354,0.002243924745676564,-0.006569764211443742,0.002204974701116445,-0.006606091259643997,0.0019881442243560544,0.0003279603451273726,0.001531724554962367,241.565185546875,132.1617183147323,True,True,24
M4_108989,poly3,0.8277999758720398,21.299999237060547,20260924,3,2415.6519,1321.617183147323,3735,8643.32154848228,4257.058372296514,4255.9680895771335,16.56571585316907,243344.21559572837,0.21429113322650287,4981.265097040476,True,7224205,481.2918088817969,0.17715119896257647,11.792414237741447,0.014584084391533025,-1.8698442555517554,0.03378661427233942,-0.18643091575897358,0.010941304238671012,0.19266123030206356,0.008031051423687915,4.6913165389586755,0.14277255900820807,4.410939696380794,0.11584835698134155,0.793492113697685,0.01764741352621546,-0.8875349585437674,0.1698703493189091,4.844842724140683,0.2084538193453227,0.9410209904643678,1.0481086508351667,-0.04882750037679273,0.0435772249393308,3,0.01799192842146781,0.013592159485128444,0.0130357546723599,0.002984270706594301,-0.0435772249393308,0.0022219006148808847,,,,,,,,,,,,,,,805.21728515625,440.53906104910766,True,True,24
