,order,tau_max,seed,lnZ,lnZ_err,n_pix,spec_chi2_raw,spec_chi2_fref,spec_chi2_raw_common,spec_chi2_stored,phot_chi2,phot_n,ess,passed,calls,wall_s,logmass_q50,logmass_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,feh_q50,feh_hw,dust_index_q50,dust_index_hw,t20_q50,t20_hw,t50_q50,t50_hw,t80_q50,t80_hw,zred_q50,zred_hw,sigma_smooth_q50,sigma_smooth_hw
masked,10,1.0,20260832,231153.15541862094,0.3492780329990088,3523,10772.141553728026,3654.973120083742,10772.141553728026,3649.1505163059937,55.021324966350285,12,4923.465370766894,True,10455667,1502.4763214918785,11.650336870175735,0.012890513029895523,0.06012956227089929,0.00962009081749787,0.4052940541618254,0.013468609829285688,5.190230879750523,0.11999429500125869,2.5234182178854523,0.050567718762996705,-0.15886136366140624,0.02152213069731479,-0.9874294331048212,0.013526467477933679,3.768634526781966,0.132530900532992,5.322581844888203,0.1738008055445257,6.668757531159265,0.06952032221781046,0.6542194811140847,1.5228251920795799e-05,263.4179028429596,3.103928198935904
unmasked,10,1.0,20260832,258237.779034015,0.45199133770683836,3939,12368.350187433576,4072.8128814809024,10955.51380238021,4034.390625312577,50.903142995081325,12,4861.867755835579,True,10215612,1475.4664553827606,11.645423080768829,0.01273944952303463,0.04459061173431994,0.009529866874816061,0.398373251117758,0.015409508912814007,5.180471912874698,0.10283911034066451,2.54516494933466,0.04597793782791726,-0.15311547756657617,0.01923170855192602,-0.9872537865103684,0.014912078267775075,3.7452618417123347,0.11232474337409015,5.346338872176235,0.16535771441349034,6.678260342074479,0.0661430857653964,0.654206766419958,1.576121800833663e-05,266.0307285292788,2.940733960537557
