,label,masked_q50,unmasked_q50,masked_hw,unmasked_hw,shift_in_masked_hw,width_ratio,masked_bits,masked_bits_err,unmasked_bits,unmasked_bits_err
Z,$[\mathrm{Fe}/\mathrm{H}]$,-1.8937044477648193,-1.8865639864155577,0.021139919523280648,0.019422370418368695,0.3377714537369959,0.9187532808239655,5.106733942350587,0.010854547162499006,5.197424376411077,0.01613559422716726
afe,$[\alpha/\mathrm{Fe}]$,0.06085449220897603,0.044280497748279225,0.009637743234701342,0.009738806927347438,-1.7196966195385888,1.0104862404180066,4.326942721682441,0.012444212950800004,4.3152407470681,0.013894394650530995
diffuse_dust_index,$\delta_{\mathrm{dust}}$,-0.9874294331048212,-0.9872537865103684,0.013526467477933679,0.014912078267775075,0.012985400270938002,1.1024370030166268,4.981399740832441,0.015402703791362438,4.822561069578994,0.017963407447515678
diffuse_tau_kc,$\tau_{\mathrm{dust}}$,0.40580706762200136,0.3972335691648771,0.013182894570643228,0.014610925797102686,-0.6503502255275881,1.1083245579191323,4.168016792334154,0.013374307706731425,4.053724249591678,0.01269991733089837
log_f_calib,$\log f_{\mathrm{calib}}$,-3.6777252937876495,-3.6724505008596435,0.018201092671188634,0.017522169551782207,0.28980638818215787,0.962698771350078,4.921602353172225,0.014060686506175202,4.997649214885453,0.013938097931795568
logmass,$\log_{10}(M_\star/M_\odot)$,11.649802565681469,11.645301572659871,0.012292678653913036,0.011518384414361371,-0.36615233736422437,0.9370117562371005,6.6134412226986,0.012686324210597899,6.693175110959817,0.01476867887315736
logsfr_ratios[0],"$\log[\mathrm{SFR}(0)/\mathrm{SFR}(0.03\,\mathrm{Gyr})]$",2.3066093748842067,2.369085317628619,0.5629849215882274,0.6641152413866889,0.11097267501971904,1.1796323772103245,5.8394529521579255,0.019971813805120142,5.694521008723613,0.024225693410790505
logsfr_ratios[1],"$\log[\mathrm{SFR}(0.03)/\mathrm{SFR}(0.1\,\mathrm{Gyr})]$",0.14206383598836725,0.11021998133014023,0.34158360748168315,0.3644313411477422,-0.09322418863421188,1.0668876760056005,0.20123832598079783,0.008169688446972218,0.13067283212622163,0.008372935032298384
logsfr_ratios[2],"$\log[\mathrm{SFR}(0.1)/\mathrm{SFR}(0.3\,\mathrm{Gyr})]$",0.022653638707677025,0.0075860498187220494,0.30933525387253435,0.3037294165495738,-0.04870957545357495,0.9818777935822649,0.0912498720221868,0.005281885053338105,0.09457414412132407,0.0052559230296456705
logsfr_ratios[3],"$\log[\mathrm{SFR}(0.3)/\mathrm{SFR}(1\,\mathrm{Gyr})]$",-0.09195487036854369,-0.1078928830105363,0.3316271893280068,0.34490235490280474,-0.04806002992181862,1.0400303895518883,0.14209042471121378,0.005956786073730458,0.13223346414044745,0.00664474615741921
logsfr_ratios[4],"$\log[\mathrm{SFR}(1)/\mathrm{SFR}(3\,\mathrm{Gyr})]$",-2.5069154590183205,-2.5915579676465366,0.6027289408086888,0.6324659442209715,-0.14043212943226221,1.0493372748492618,5.021084043109101,0.028693401259000773,6.1572569106363675,0.05387319777406896
logsfr_ratios[5],"$\log[\mathrm{SFR}(3)/\mathrm{SFR}(5\,\mathrm{Gyr})]$",-0.6927807475208191,-0.5861220302870069,0.19181730650591,0.16924864633101594,0.5560432433166604,0.8823429408638959,2.798458653003935,0.015430560224744871,2.5284106278809424,0.019810630186005485
logsfr_ratios[6],"$\log[\mathrm{SFR}(5)/\mathrm{SFR}(7.57\,\mathrm{Gyr})]$",0.3316626310347352,0.22388374089301388,0.32664873280581413,0.3146331438367648,-0.32995349229104043,0.9632155653388302,0.7353304761126763,0.015839910251956746,0.46621286823820973,0.009824529536843707
sigma_smooth,$\sigma_\star$,263.49863932211514,266.1230930382814,3.0249906114679845,2.9241939701082913,0.8675906980394436,0.9666786928271562,0.7854467363174444,0.010654133135418742,1.322944042000849,0.01491143769731551
spectrum_scaling,spectrum scaling,1.038772469557781,1.030455671110302,0.018892654266116526,0.019202117319155443,-0.4402133406101105,1.0163800728410053,3.2586154123736075,0.013672192698774621,3.2483757387091607,0.013831338623870426
zred,$z$,0.6542179097707194,0.6542079592579187,1.569178692273354e-05,1.567466263141526e-05,-0.634122350093873,0.9989087099256061,11.574101127810167,0.015078726364905037,11.582168575082004,0.014564564393410251
mass_weighted_age_gyr,$t_{\mathrm{MW}}$ [Gyr],5.190230879750523,5.180471912874698,0.11999429500125869,0.10283911034066451,-0.08132859046108885,0.8570333309561573,,,,
