target,f_calib fit,chi2/nu fitted f,chi2/nu f=0.03,chi2 spec f=0.03,|pull|>4 (f=0.03),chi2 phot,IRAC share of phot chi2,[NeIII] 3869,Hepsilon 3970,Hdelta 4102,Hgamma 4340,blue 3800-4300,blue pixel share,railed params,HdA resid/err,Fe4383 resid/err,Dn4000 resid/err,Hbeta resid/err
M4_108989,0.04374487201408277,1.145553053095329,1.5004679450289904,5604.247774683279,12,13.44873925629207,0.0009613979049513279,0.027846822326808126,0.032638499184045815,0.021774848195548105,0.025494670329065074,0.3273248292691417,0.3756358768406961,afe,2.6227674039753297,-1.8720416527649486,-2.8163700215665406,
M5_172669,0.026774060416207546,1.0420566122681816,0.8634356397615985,3110.095174421278,18,99.93626010481235,0.18067280814171285,0.0,0.0,0.009485912267101064,0.014153614140428152,0.06209926705759848,0.14991671293725709,,,1.447416628138401,,2.434540357345232
M5_173928,0.09044519076682432,0.9584705086719021,2.6068961066692866,10000.053465183384,77,50.95273028205708,0.24879543135998383,0.01736288404958064,0.019966739447060396,0.014823203298378433,0.01458042944272134,0.22691560760086094,0.39389989572471323,log_f_calib,1.1208102180812236,-3.6526054121805793,-5.523380531186032,
M12_185653,0.06334030026717886,1.1164271200262221,2.0026849783271636,7163.604167476264,24,9.770593673470058,0.26632872801698826,0.0,0.021820222706685335,0.038532120665368506,0.05012650436722119,0.26489332790856135,0.25943528096169977,,,-1.9931214764427865,,-2.7863660695574994
M1_206545,0.03912656710098921,1.3189571157167337,1.585435864889127,5425.361529650592,19,62.51440577215628,0.13279160638270965,0.05512694808249196,0.05361092228684131,0.027627937734886414,0.05433513178267619,0.48632492703342517,0.4208065458796026,afe,-1.7141175732936842,-2.226760738295944,-2.611148144365265,2.8236806305963578
M12_98104,0.09999437009038672,1.552488973139081,2.167394573818393,8244.768958805167,32,10.633984182508112,0.32141814438742405,0.014675143495594569,0.0316530865055942,0.024168377842376496,0.03219874336822207,0.4203316204467154,0.4019453207150368,log_f_calib,-0.7854193538064754,,-0.3871448149217236,
