target,arm,base,same_data,dchi2_raw3,dchi2_phot,dlnZ,dlnZ_sig,df_calib,shift_age,hw_ratio_age,shift_Z,hw_ratio_Z,shift_afe,hw_ratio_afe,shift_tau_dust,hw_ratio_tau_dust,shift_logmass,hw_ratio_logmass,shift_dust_index
M12_185653,dust_wide,new_default,True,-1.074070359698453,-0.18744592315439768,-0.4663697976793628,-1.4979505588453874,-9.87473682076967e-05,-0.18782658406417188,1.1126277359075614,0.028672016406098115,0.9497717945187468,0.20767923431961066,0.9842948331614176,0.1574956752553629,1.0411740304415418,-0.0259098467134193,0.9756633021325885,0.32353815590953616
M12_185653,tau_cn,new_default,True,2.097447595859194,-0.3211919444782776,0.09898152967798524,0.42403637005615624,0.005386184569450947,-0.5294587385357234,1.021693257943006,0.29449319191226847,0.892278962711611,-0.17802896693203718,0.9440036976919564,0.022137438829887623,1.0367137601043093,-0.43172781038006997,0.8970065756217487,-0.1380919072170614
M12_98104,dust_wide,new_default,True,1.9758098073925794,0.08985168188769155,-0.48951710437540896,-1.8320550409391425,0.0015802393758832523,0.260982542532211,0.8437699974159328,-0.3089647822355104,1.0100578655834174,-0.21307445503782682,0.9969576461647919,0.28866395753492796,1.1322545198832443,0.2576780386212266,1.0231923567647692,0.07810112453166833
M12_98104,tau_cn,new_default,True,-0.4739390027771151,0.27230220426440965,0.16654836331144907,0.5475857102928163,-0.0009075752743790133,0.01684645217550524,1.1008944147936974,0.14240208034950808,1.0830317052165126,-0.08298672571583642,0.9795586969265929,-0.0333767494234346,0.9860369409772143,-0.08631493148404563,0.9578318083564296,-0.10987374045644474
M1_206545,dust_wide,new_default,True,-33.9398023017111,-11.23954177258755,24.182713636080734,51.83168623371182,-0.04994011380910646,0.37079902698298356,0.8602774745178269,4.603251121443109,1.1408779762673988,2.0229077138436464,1.5544232908573161,-11.653865637224204,1.0349878452062098,-3.3220380911251413,0.9697347209225232,-57.579021206455735
M1_206545,tau_cn,new_default,True,-0.7587287881669909,0.00945548450520306,-0.09467368511832319,-0.2179037921693904,-0.004202906131854256,0.27342727598627564,0.9945140819446529,-0.1456318234424523,0.9070245537557223,0.18341610326859356,1.0648862839264144,-0.11987302275356332,0.9788213279716651,-0.055174427197067215,0.9651513418622897,0.009203275877754359
M4_108989,dust_wide,new_default,True,-121.55108832268434,10.738805956048312,28.040336684905924,63.31840985744637,-0.22395570508610518,-5.977720688516221,2.165326797708729,12.245688954760595,1.552425560515588,4.2781121623800535,1.6975327685650983,-3.0123810349460194,0.19966900985578134,-4.442837127616701,1.045402637985009,-7.13426887743016
M4_108989,new_default_rep1,new_default,True,-3.478168667827049,-0.07164756071024847,0.2311102871026378,0.5795611258458173,-0.014327199051416883,-0.29945342494423915,0.9295013954193457,-0.012174948712930364,0.8324031125133157,0.02170459425177978,0.8517252153356427,-0.04544728383777027,0.9439211257256783,-0.22346544462968024,0.9442665701877195,-0.04202336554496257
M4_108989,new_default_rep2,new_default,True,-1.6882592342162752,0.3481609700391761,1.4621387951774523,4.366674606516574,0.0042348129430020975,-0.33609403091871154,0.9419050960455684,0.028141826001255633,0.7802842042214271,0.1460753530160865,0.8915155250998543,0.01703337730210681,1.000911710474292,-0.17369666892060237,0.9325897110445285,0.07509206678121065
M4_108989,tau_cn,new_default,True,1.789234441703229,0.21082072499079096,0.47915102876140736,1.2860619501464998,-0.004966180933898556,-0.043607119067365814,0.9693749852338508,-0.04026424600721317,0.9143041092699201,0.060813098060692655,0.888966456125298,0.052437820329162686,0.9322334045105607,-0.06774857245838153,0.894936109947914,0.009455918743388188
M5_172669,dust_wide,new_default,True,0.4392123247375821,-15.147203086727643,-0.011202825960936025,-0.033579726174677034,0.019856029249600837,0.12164170095413152,1.0089683627331851,-0.06829026650680967,0.9897195167268111,-0.22841017983297032,0.9996223024853866,-3.7253321649924995,1.892148676727328,-0.3694048478883375,1.0351138817432306,-6.403852546380014
M5_172669,new_default_rep1,new_default,True,1.0812727420589,-1.3662896695433417,-3.0743301024194807,-6.777770663111363,0.008783734873252236,0.1704602714619861,0.8583324536305789,0.01195963789016906,0.9919164797201765,-0.23245913689495074,1.0265299100840823,0.06838690546595863,1.137343513077024,0.28583312142730316,0.8742683341228011,0.034748425014078384
M5_172669,new_default_rep2,new_default,True,1.8295089903353983,0.5011783350315469,-3.1329781108361203,-9.54251399269352,0.009223564489823755,0.015685605521238908,0.8823576809848077,-0.540302913173465,1.1539374686215327,-0.18180682416111313,1.0414083655928916,0.0019900137015026933,1.0004601099425912,0.1869961403491225,0.9377654524308493,-0.1495132766026917
M5_172669,tau_cn,new_default,True,0.04100812061187753,0.7193632075192085,-1.5433499560167547,-4.0302946776651085,0.002025265030602963,0.008524574617233372,0.9998764132021198,-0.15807187871169404,1.1295891044739559,-0.12829929498650064,0.9873623995379958,0.052308960531449435,1.0407073610940094,0.04207481455679822,0.9244602196905275,0.03638729835245958
M5_173928,dust_wide,new_default,True,11.747392072184084,53.33715050140588,31.26249348811689,75.46179454885402,0.024490812507666604,-4.39071393221406,0.6128114743855517,24.305376632966517,1.5281036046540992,-1.6673005199289883,0.8439377942641447,-8.786866619717047,1.4844781394688347,-6.582819390515152,0.8641222718972131,-28.309862556217894
M5_173928,tau_cn,new_default,True,3.1105096662777214,-0.4985878851843708,-0.591588760522427,-1.3614897530252317,-0.002358653479236139,-0.3881505306309317,0.5467665699211692,0.059202677553803665,0.7789313895398311,-0.44222890863673797,0.9627849867683763,-0.320592697908178,0.919300666875851,-0.4465499303996747,0.6585548348257727,-0.07580327660655178
