target,arm,n_common,pix_dropped,bands_dropped,dchi2_raw3,dchi2_phot,dlnZ,dlnZ_sig,df_calib,same_data,shift_age,shift_Z,shift_afe,shift_tau_dust,shift_logmass
M12_185653,dust_free,3577,0,0,-2.414735892288263,-6.474542759820231,5.7629698138916865,16.950721989121202,-0.00481833572668755,True,-0.5846440255646529,0.16062495531209423,-0.661534483485281,4.846019780917398,0.7074085179468129
M12_185653,dust_wide,3577,0,0,-2.3674635741208476,-6.913949875919836,3.5821643122762907,10.067053689462089,-0.0074290982421940654,True,-0.2100772888604379,0.1448892365432755,-0.25631338476344734,4.873402278768014,0.9889449330922917
M12_185653,emis_wide,3280,297,0,-1.7171352485911484,-3.4423712127179122,-19393.074599263316,-63246.41415966506,-0.22879681235969151,False,-1.9802302747699545,1.8100944073164789,-1.7022438389410615,1.2226646487933674,-1.9051568995505663
M12_185653,floor20,3577,0,0,-2.4868088387047464,-0.0792007234080252,-1.5046005237381905,-4.00383058932028,-0.03890791717812192,True,-0.04056234447986132,0.05410189646525055,0.05969009647207759,-0.13976513147336603,0.05730506250945767
M12_185653,mask_cn,3243,334,0,-49.55292683533571,-1.2204942070135516,-21819.572089229827,-56676.08350638621,-0.10403799599640351,False,0.4299758982755495,0.11507506431952631,-0.025190293448282036,0.0773191337626346,0.5996170635597046
M12_185653,new_default,3577,0,0,-1.2933932144223945,-6.726503952765438,4.0485341099556535,12.39551779857259,-0.007330350873986369,True,-0.03916067532374345,0.11897293373146639,-0.47829833320966997,4.620167771140836,1.0161668509977027
M12_185653,no_irac,3577,0,2,-1.3029014321091381,3.3235231637073266,-38.033179174992256,-112.97196471652957,0.00043929688550470303,False,-0.13209583668929054,-0.03147390841265171,-0.20456331408660935,-1.6401942513057859,-0.8844875967954804
M12_185653,sfh_cont,3577,0,0,2.8470973421162853,-1.0384015372995083,-1.2673148562316783,-3.6328790472191526,-0.008241374007864621,True,-0.3549979281661823,0.6161731675542249,-0.15971815157903094,0.19980811397950507,-0.49087238807901606
M12_185653,tau_cn,3577,0,0,0.8040543814367993,-7.047695897243716,4.147515639633639,14.295680424233204,-0.0019441663045354218,True,-0.5209524038418882,0.38516191149695467,-0.668590594137034,4.6557621670702725,0.5625764017125576
M12_98104,dust_free,3804,0,0,8.506369188566168,-5.978143763683467,3.174635989998933,8.564686330787188,0.00741942165451448,True,0.12942599754306527,-1.2027128707573287,-0.2611552514215883,4.81916578751485,2.180188778086949
M12_98104,dust_wide,3804,0,0,7.806922526207927,-5.681331805896005,0.05227705172728747,0.1891491623757738,0.005613153924421965,True,0.6228550281184732,-1.164585289547882,-0.2263423070763413,4.318414075637097,2.0648724586759486
M12_98104,emis_wide,3323,481,0,-4.306266426764523,-1.7639723151375044,-31562.025509281928,-95060.21124542294,-0.0010674797053056295,False,-0.20047909387001653,0.7313410011560753,1.4923303042806413,-0.914821106715739,-0.5404233656442978
M12_98104,floor20,3804,0,0,0.38087489120152895,2.0547868956183937,86.6176381855621,296.653522202985,4.61357338669551,True,0.15506777137287933,-0.1272183156155025,-0.016747151443743474,-0.7315682572828363,-0.028872218136527066
M12_98104,mask_cn,3688,116,0,2.472855669215278,-0.627704801267388,-7625.254115226184,-23388.960453217158,0.007614825980326145,False,-0.18743138505638401,0.059860691802046194,0.08949564209138283,-0.14763943765480916,-0.36190879652983027
M12_98104,new_default,3804,0,0,5.831112718815348,-5.771183487783697,0.5417941561026964,2.107396065766565,0.004032914548538713,True,0.4066562387891658,-0.8194011166699883,-0.03344694384898109,3.726569673393515,1.7073131455092412
M12_98104,no_irac,3804,0,2,5.727797430503415,-1.0002640394787417,-37.45029380306369,-131.732524572845,0.0010922260410133333,False,0.087660893605044,-0.8339834460674942,-0.38491221251311086,-2.2160825768101287,-1.4460846146627597
M12_98104,sfh_cont,3804,0,0,2.582046557941794,-0.5452899734071899,-0.7462640438170638,-2.7850905644707313,0.006396355380624996,True,0.4226668787157451,0.23646418077368106,0.19341528597860388,0.14480548720838465,0.12838808946459448
M12_98104,tau_cn,3804,0,0,5.357173716038233,-5.498881283519287,0.7083425194141455,2.2685136022135626,0.0031253392741596997,True,0.4206118947096716,-0.6603054942955662,-0.10857446017731685,3.6581377067564738,1.5875407823594527
M1_206545,dust_free,3422,0,0,-30.5507574409894,-16.700459083733136,14.807857127976604,39.656003147867466,-0.06652830967959744,True,-0.0070863291110960895,2.1277529435577507,0.7210188026644238,-3.399536203820612,-1.7581856813268026
M1_206545,dust_wide,3422,0,0,-61.815112309515825,-27.088710848998495,31.772824090498034,91.19121999644206,-0.11862043615588247,True,9.12310755862233,6.542547515347093,3.3952679949584135,-12.038125024862271,-5.037094968499319
M1_206545,emis_wide,2953,469,0,21.4971579836174,-37.62256628475217,-30527.765807754447,-94320.81239080172,-0.26262956664617043,False,-4.795398461187352,-1.7494475713046138,-0.6085203001185584,-4.340522084423514,-3.1017870939910464
