target,arm,z,sn,seed,n_pix,n_bands,spec_chi2_stored,spec_chi2_raw3,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,t50_q50,t50_hw,free_dust_index,sfh_prior,dust_index_q50,dust_index_hw,dust_rail_lo,dust_rail_hi,tau_prior,dust_index_bounds
M12_185653,dust_free,0.6776310205459595,21.5,20260923,3577,12,3973.9344972165627,7131.318332494419,4.637647227119583,233877.08781701754,0.21773653106002686,3467.891563676279,True,5901814,383.7821731772274,11.125020116476861,0.0432407635061578,-2.1681800237507214,0.08732574037007756,0.20667996487090365,0.03788921259586091,0.3123138174002633,0.045433054400921186,4.8004699204687284,0.42021508786715733,6.311907471572365,0.12839017060277413,0.9953732735886582,0.02003707307668212,4.839973622273685,0.49487012447945666,True,uniform,0.29579088562159367,0.10527573853740112,2.257968156153916e-05,0.36151223741502453,,
M12_185653,dust_wide,0.6776310205459595,21.5,20260923,3577,12,3975.3345803983243,7131.365604812587,4.198240111019978,233874.90701151593,0.24173450143541847,3623.856858844553,True,5969199,392.75980463344604,11.134789060527133,0.035568609895202385,-2.1694286625082357,0.06812151584904136,0.21989734086045287,0.03431696362862598,0.31310829310676286,0.04857190529535024,4.939234355295119,0.3750818633834676,6.309296709056858,0.13025413147329568,0.9971589380991012,0.019905696697982644,5.132779675384322,0.48253375478250904,True,student,0.30157321158518197,0.16772103471565633,3.7773816227609355e-09,0.3176075529272592,uniform,"-2.0,0.5"
M12_185653,new_default,0.6776310205459595,21.5,20260923,3577,12,3971.02239737531,7132.439675172285,4.385686034174376,233875.3733813136,0.1962043355500298,3423.437540055448,True,5762196,382.2598093273118,11.135733625345939,0.03645582427611771,-2.171485136738471,0.07172408808324193,0.21265670473146264,0.03486451667982923,0.3057609478990779,0.04665109182059779,5.002553238035603,0.33711352978048525,6.309395456425066,0.1257525531435797,0.997613966317105,0.022992128665473344,5.2282564313170745,0.45763292460310145,True,student,0.2574178146424565,0.1364766292204239,4.167826909551528e-05,0.2701144422047323,uniform,"-1.0,0.4"
M12_185653,poly3_total,0.6776310205459595,21.5,20260923,3577,12,3968.989243867257,7133.733068386708,11.112189986939814,233871.32484720365,0.2611125135923976,3448.425601404076,True,981500,306.4762258916162,11.100473969475106,0.03469868736242887,-2.1809257106540816,0.07935060201943922,0.22825769126732556,0.03261768953107343,0.17171141472104495,0.029013996854259844,5.017060957077964,0.37046651832292454,6.316725807299052,0.12624781010875052,0.9800314633714657,0.024156740318829584,5.05572166747319,0.454289384805282,,,,,,,,
M12_185653,sfh_cont,0.6776310205459595,21.5,20260923,3577,12,3973.5748108978783,7136.580165728824,10.073788449640306,233870.05753234742,0.2313302771071786,3382.7048018225278,True,5738817,262.35253223218024,11.083441341946303,0.04251334202742019,-2.132031998860429,0.07430346144659161,0.2230480541866438,0.035044110541670837,0.1775086467115019,0.027902002023984337,4.885546110618387,0.41976998909460495,6.308484433291188,0.13509943433048655,0.9822529726127353,0.021057387150575813,5.119723461799545,0.5401994774110643,False,student,,,,,,
M12_185653,tau_cn,0.6776310205459595,21.5,20260923,3577,12,3966.3484006242684,7134.537122768144,4.064494089696098,233875.47236284328,0.12645953562251983,3547.786118047787,True,5665701,378.9082172829658,11.11999463215561,0.03270111409538856,-2.1503628811018403,0.06399789491635133,0.20644981084436786,0.03291223266400169,0.3067936835906038,0.04836382881430332,4.824065533814702,0.3444266205380906,6.314781640994517,0.1370314759706619,0.999289889472808,0.02110834628277014,5.00670391928036,0.4499629895897268,True,student,0.23857149662285243,0.14976649944070905,5.5508573555228564e-05,0.23079927372257222,clipped,"-1.0,0.4"
M12_98104,dust_free,0.9814170002937317,6.599999904632568,20261007,3804,12,5920.175072006068,8250.23485451665,4.11140970411036,249684.40628806586,0.3191376090023204,3358.8555133329787,True,5354494,369.91593784373254,11.305946421809878,0.030697370158060622,-2.5632344996608105,0.06816199283488622,0.1252461412189472,0.05254362893520044,0.5331196929329045,0.06651431558447762,4.437868128588159,0.11750724045275396,9.985302168313467,0.018837596427256464,0.954847745343878,0.024963699405355644,4.457368420345519,0.11949964161374727,True,uniform,-0.00026862521564128503,0.16192821394803414,5.920440857986679e-06,0.008261898589804513,,
M12_98104,dust_wide,0.9814170002937317,6.599999904632568,20261007,3804,12,5920.584756598727,8249.535407854291,4.408221661897822,249681.2839291276,0.2020931184920233,3648.342503495129,True,5902464,397.731870255433,11.30290400373529,0.03745899278416065,-2.5603925504043703,0.08411340526160549,0.12714749573079737,0.049293477152364186,0.5153926761662069,0.08218115842029936,4.569429842279455,0.1863677247394726,9.983495900583375,0.018719059076024003,0.9590894607366527,0.027019096515033036,4.719643224245074,0.266496794629417,True,student,-0.07359209563852945,0.20354158236049946,3.5686946051247973e-13,0.002733429547571922,uniform,"-2.0,0.5"
M12_98104,new_default,0.9814170002937317,6.599999904632568,20261007,3804,12,5920.671336268662,8247.559598046899,4.3183699800101305,249681.77344623196,0.17479095278399764,3686.1924317516773,True,5885308,391.27494063973427,11.293470430736495,0.03660992240266747,-2.534663252286655,0.08327582817546886,0.1376827284175262,0.04944390300028476,0.49444090427409315,0.07258187711078751,4.511785314982433,0.22087503147804322,9.981915661207491,0.02141060144508966,0.9582037686545769,0.028369640749523584,4.667430540682277,0.31295040160969956,True,student,-0.08891306104339958,0.1961683073930364,0.0007928793417333654,0.0030374384810378094,uniform,"-1.0,0.4"
M12_98104,poly3_total,0.9814170002937317,6.599999904632568,20261007,3804,12,5917.863306540227,8241.728485328083,10.089553467793827,249681.23165207586,0.18853194441269666,4033.206449993014,True,1020500,307.66967546986416,11.24842597909763,0.026383239511360124,-2.4735868262355423,0.07453788481436852,0.1395094770247161,0.054616308606191176,0.36251731516684094,0.03540081111300383,4.403359607650275,0.2666274287466961,9.977882746658953,0.024186968949860166,0.9703163829063787,0.027351947340908234,4.442128506696827,0.4200785914030791,,,,,,,,
M12_98104,sfh_cont,0.9814170002937317,6.599999904632568,20261007,3804,12,5917.792952591963,8244.310531886025,9.544263494386637,249680.48538803204,0.1904014738042666,3546.939738259682,True,5538729,260.9502135012299,11.251813272812381,0.029476146646236323,-2.4559612863663096,0.07668189403000625,0.15007310597287826,0.051186584041646076,0.36764354686763145,0.031080773709743714,4.516054190738646,0.2533015493372863,9.984279102039578,0.018630908071096464,0.9747747669438855,0.030179466960669254,4.682269171701856,0.3751133186251052,False,student,,,,,,
M12_98104,tau_cn,0.9814170002937317,6.599999904632568,20261007,3804,12,5919.650547756941,8247.085659044122,4.59067218427454,249681.93999459528,0.24890868535921812,3617.770575333743,True,5622332,380.6656122934073,11.290310447792672,0.035066148178735546,-2.52280460111164,0.09019036219219534,0.13357954080092116,0.0484332051939238,0.4920183571490839,0.071568412076705,4.515506275636991,0.2431600885215599,9.981008085933112,0.021622154642717994,0.9594780422267724,0.027160481725325925,4.6884904581675,0.3661578658631237,True,student,-0.11046680673568213,0.20494308821809848,0.0007512675476596714,0.0018146510612266293,clipped,"-1.0,0.4"
M1_206545,dust_free,0.7282999753952026,31.399999618530273,20260877,3422,12,4330.21191783157,5200.379935860968,47.938052851977915,222950.0371478338,0.3013447432356679,3699.5545686073724,True,7330194,511.10364825464785,11.621392368201576,0.009503224359572293,-1.8030258868968816,0.02115353050797142,-0.18899218718141036,0.008900352487187596,0.3847672563297475,0.017034974572540745,5.064842781700177,0.018464174066251893,3.881903107211703,0.09526310344477129,1.136888647886771,0.02460890891862999,5.072166887137424,0.032511734121963176,True,uniform,-0.9876527829436283,0.014013946194181948,0.9829771215056716,4.789652571390805e-40,,
M1_206545,dust_wide,0.7282999753952026,31.399999618530273,20260877,3422,12,4354.567608952903,5169.115580992441,37.549801086712556,222967.0021147963,0.2697622613875054,4240.169850197986,True,7900873,547.0054504778236,11.591161864192625,0.011297796112956782,-1.7026704530254606,0.02583798983572938,-0.17313993664122226,0.012357843142733305,0.20078692441540902,0.016765781723480658,5.197591618619689,0.07973742517202886,3.829810980735418,0.09876845906975373,1.042833127098294,0.022987592373335253,5.302295188614499,0.12046873998492247,True,student,-1.8962343119248575,0.0957787152061822,0.5773283381389482,5.648697495888124e-53,uniform,"-2.0,0.5"
M1_206545,new_default,0.7282999753952026,31.399999618530273,20260877,3422,12,4332.358283296322,5203.055383294152,48.789342859300106,222942.81940116023,0.38066882485046927,4507.400504685905,True,8028608,563.9828723827377,11.62986493238565,0.011650398680382423,-1.806922404733993,0.022647461317697903,-0.18922228458784712,0.007950114499325048,0.389568047221295,0.0161990131585944,5.163222986935489,0.09268803093643774,3.8797510945445244,0.09982195609293187,1.1390536055368239,0.024699101335744378,5.2440288648411535,0.14613691446160226,True,student,-0.9871278288768465,0.015788849202356403,0.9803200420413143,9.680976108606314e-35,uniform,"-1.0,0.4"
