target,arm,dust_index_q50,dust_index_hw,dust_rail_lo,dust_rail_hi,tau_dust_q50,tau_dust_hw,dust_index_bounds
M12_98104,dust_free,-0.00026862521564128503,0.16192821394803414,5.920440857986679e-06,0.008261898589804513,0.5331196929329045,0.06651431558447762,
M12_98104,new_default,-0.08891306104339958,0.1961683073930364,0.0007928793417333654,0.0030374384810378094,0.49444090427409315,0.07258187711078751,"-1.0,0.4"
M12_98104,tau_cn,-0.11046680673568213,0.20494308821809848,0.0007512675476596714,0.0018146510612266293,0.4920183571490839,0.071568412076705,"-1.0,0.4"
M12_98104,dust_wide,-0.07359209563852945,0.20354158236049946,3.5686946051247973e-13,0.002733429547571922,0.5153926761662069,0.08218115842029936,"-2.0,0.5"
M5_173928,dust_free,-0.9710338147695552,0.030249759111112773,0.8448085748126568,5.612523346580544e-49,0.4467776458737023,0.018974732710793335,
M5_173928,new_default,-0.9788301482491125,0.027314886863406718,0.8842126383757343,7.152513491288726e-52,0.4498857840561493,0.01761343391813855,"-1.0,0.4"
M5_173928,tau_cn,-0.980900706173496,0.019800227027971296,0.9530727963664214,2.858226670613901e-65,0.44423904575690587,0.0161920415469185,"-1.0,0.4"
M5_173928,dust_wide,-1.7521108410907984,0.1446732125740786,0.20340999146276767,2.676430413750207e-75,0.29511888950226567,0.02614675761245558,"-2.0,0.5"
M4_108989,dust_free,0.020531413284183477,0.33770968422448533,0.02309218102808608,0.0762771993166923,0.3370532221752856,0.06583478251219851,
M4_108989,new_default,0.10659657157002465,0.28665238209488275,0.02485955625603321,0.10227167867528625,0.34751396820226754,0.060496602586334214,"-1.0,0.4"
M4_108989,new_default_rep1,0.09455047373291711,0.2581837167988562,0.008534272604550024,0.08301629611109011,0.3447645619333056,0.057104021215871575,"-1.0,0.4"
M4_108989,new_default_rep2,0.1281218913892867,0.25757823332579455,0.0137017616880161,0.11944216907604589,0.3485444296596162,0.06055175797257126,"-1.0,0.4"
M4_108989,tau_cn,0.10930713320271253,0.26811635023619845,0.015436793160030032,0.10633519549437963,0.3506862781792145,0.05639695379038073,"-1.0,0.4"
M4_108989,dust_wide,-1.9384585966507157,0.06593976516244349,0.7831002616664395,1.754999576612084e-14,0.16527514989252806,0.012079296738052053,"-2.0,0.5"
M12_185653,dust_free,0.29579088562159367,0.10527573853740112,2.257968156153916e-05,0.36151223741502453,0.3123138174002633,0.045433054400921186,
M12_185653,new_default,0.2574178146424565,0.1364766292204239,4.167826909551528e-05,0.2701144422047323,0.3057609478990779,0.04665109182059779,"-1.0,0.4"
M12_185653,tau_cn,0.23857149662285243,0.14976649944070905,5.5508573555228564e-05,0.23079927372257222,0.3067936835906038,0.04836382881430332,"-1.0,0.4"
M12_185653,dust_wide,0.30157321158518197,0.16772103471565633,3.7773816227609355e-09,0.3176075529272592,0.31310829310676286,0.04857190529535024,"-2.0,0.5"
M1_206545,dust_free,-0.9876527829436283,0.014013946194181948,0.9829771215056716,4.789652571390805e-40,0.3847672563297475,0.017034974572540745,
M1_206545,new_default,-0.9871278288768465,0.015788849202356403,0.9803200420413143,9.680976108606314e-35,0.389568047221295,0.0161990131585944,"-1.0,0.4"
M1_206545,tau_cn,-0.9869825197418449,0.015260530416464413,0.975274702892508,3.311602164913478e-36,0.38762622254834955,0.015855939571725847,"-1.0,0.4"
M1_206545,dust_wide,-1.8962343119248575,0.0957787152061822,0.5773283381389482,5.648697495888124e-53,0.20078692441540902,0.016765781723480658,"-2.0,0.5"
M5_172669,dust_free,-0.9583608228148486,0.028673892555601044,0.8290769557644346,1.9999594094419115e-75,0.47754834196467827,0.016723885626106716,
M5_172669,new_default,-0.9747172693739008,0.026133663412381547,0.8854211379188355,8.21160264036228e-114,0.46964254929028737,0.016109819754536153,"-1.0,0.4"
M5_172669,new_default_rep1,-0.9738091657304725,0.025006905058031714,0.9021115459000694,1.2723500584473333e-99,0.47074425001091447,0.018322398994661787,"-1.0,0.4"
M5_172669,new_default_rep2,-0.9786245990203178,0.023736567719396973,0.9270899470520296,1.5326184669545868e-113,0.46967460805232764,0.016117232042778568,"-1.0,0.4"
M5_172669,tau_cn,-0.9737663359662717,0.028094775051250298,0.8694779617652171,8.64624857326971e-134,0.47048523721599617,0.01676560800444346,"-1.0,0.4"
M5_172669,dust_wide,-1.1420733963635186,0.08281875185953724,1.5074326885100004e-16,1.366233927067475e-107,0.40962811958648226,0.03048217413086135,"-2.0,0.5"
