target,arm,base,same_data,dchi2_raw3,dchi2_phot,dlnZ,dlnZ_sig,df_calib,shift_age,hw_ratio_age,shift_Z,hw_ratio_Z,shift_afe,hw_ratio_afe,shift_tau_dust,hw_ratio_tau_dust,shift_logmass,hw_ratio_logmass
M12_185653,dust_free,poly3_total,True,-2.414735892288263,-6.474542759820231,5.7629698138916865,16.950721989121202,-0.00481833572668755,-0.5846440255646529,1.1342862771228046,0.16062495531209423,1.1005050768069107,-0.661534483485281,1.1616154651225536,4.846019780917398,1.5659012658316565,0.7074085179468129,1.2461786538063149
M12_185653,dust_wide,poly3_total,True,-2.3674635741208476,-6.913949875919836,3.5821643122762907,10.067053689462089,-0.0074290982421940654,-0.2100772888604379,1.0124581975219689,0.1448892365432755,0.8584877003498099,-0.25631338476344734,1.05209670341407,4.873402278768014,1.6740852885361397,0.9889449330922917,1.0250707620056962
M12_185653,new_default,poly3_total,True,-1.2933932144223945,-6.726503952765438,4.0485341099556535,12.39551779857259,-0.007330350873986369,-0.03916067532374345,0.9099703025973146,0.11897293373146639,0.9038883922477494,-0.47829833320966997,1.0688837002576579,4.620167771140836,1.6078822940159125,1.0161668509977027,1.05063986701674
M12_185653,sfh_cont,poly3_total,True,2.8470973421162853,-1.0384015372995083,-1.2673148562316783,-3.6328790472191526,-0.008241374007864621,-0.3549979281661823,1.1330848223339418,0.6161731675542249,0.9363944261996756,-0.15971815157903094,1.0743897267243858,0.19980811397950507,0.9616738488026602,-0.49087238807901606,1.2252147057716336
M12_185653,tau_cn,poly3_total,True,0.8040543814367993,-7.047695897243716,4.147515639633639,14.295680424233204,-0.0019441663045354218,-0.5209524038418882,0.9297105230920335,0.38516191149695467,0.8065205970418875,-0.668590594137034,1.0090301654458897,4.6557621670702725,1.6669136988343791,0.5625764017125576,0.9424308693243755
M12_98104,dust_free,poly3_total,True,8.506369188566168,-5.978143763683467,3.174635989998933,8.564686330787188,0.00741942165451448,0.12942599754306527,0.44071699976670176,-1.2027128707573287,0.9144610556717431,-0.2611552514215883,0.9620501691914825,4.81916578751485,1.8788924178080435,2.180188778086949,1.1635178517347315
M12_98104,dust_wide,poly3_total,True,7.806922526207927,-5.681331805896005,0.05227705172728747,0.1891491623757738,0.005613153924421965,0.6228550281184732,0.6989818174953314,-1.164585289547882,1.1284651485762462,-0.2263423070763413,0.902541354594155,4.318414075637097,2.3214484594142992,2.0648724586759486,1.419802627650464
M12_98104,new_default,poly3_total,True,5.831112718815348,-5.771183487783697,0.5417941561026964,2.107396065766565,0.004032914548538713,0.4066562387891658,0.8284032611208991,-0.8194011166699883,1.117228217340237,-0.03344694384898109,0.9052955840863972,3.726569673393515,2.0502885337597787,1.7073131455092412,1.3876204393665885
M12_98104,sfh_cont,poly3_total,True,2.582046557941794,-0.5452899734071899,-0.7462640438170638,-2.7850905644707313,0.006396355380624996,0.4226668787157451,0.9500205981355738,0.23646418077368106,1.028764020081563,0.19341528597860388,0.9372032886866266,0.14480548720838465,0.877967841203694,0.12838808946459448,1.117229998747669
M12_98104,tau_cn,poly3_total,True,5.357173716038233,-5.498881283519287,0.7083425194141455,2.2685136022135626,0.0031253392741596997,0.4206118947096716,0.9119845233648829,-0.6603054942955662,1.2099935813420013,-0.10857446017731685,0.88679016268107,3.6581377067564738,2.02166023394915,1.5875407823594527,1.3291069947508427
M1_206545,dust_free,poly3_total,True,-30.5507574409894,-16.700459083733136,14.807857127976604,39.656003147867466,-0.06652830967959744,-0.0070863291110960895,1.2699281825267765,2.1277529435577507,0.9305773295786373,0.7210188026644238,1.5014751621324554,-3.399536203820612,0.7998580031782769,-1.7581856813268026,1.0307539233040555
M1_206545,dust_wide,poly3_total,True,-61.815112309515825,-27.088710848998495,31.772824090498034,91.19121999644206,-0.11862043615588247,9.12310755862233,5.4841772540023905,6.542547515347093,1.1366541189874793,3.3952679949584135,2.084748279694942,-12.038125024862271,0.7872183567965236,-5.037094968499319,1.2253996356920298
M1_206545,new_default,poly3_total,True,-27.87531000780473,-15.849169076410945,7.5901104544172995,17.253218282332533,-0.06868032234677601,6.759303263123298,6.3748934691986365,1.9563389489931953,0.9962977133683143,0.6822017399544661,1.3411715405686788,-3.174120486301468,0.7606063785605899,-0.8392208707799358,1.2636441794373299
