arm,n,dchi2_raw3_med,dchi2_raw3_min,dchi2_raw3_max,dchi2_phot_med,dlnZ_med,dlnZ_gt1,pix_dropped,bands_dropped,beats_floor,beats_on,max|shift_age|,max|shift_Z|,max|shift_afe|,max|shift_tau_dust|,max|shift_logmass|
floor20,6,0.859118554161796,-11.534324985912463,2.25802051698156,-0.6387649799569735,0.1349739407596644,2,0,0,3,"age:1, tau_dust:1, logmass:1",1.5061468493012191,0.2826341152025903,0.6428440659742722,0.7315682572828363,0.7875682343888967
dust_free,6,-1.9231411128916989,-30.5507574409894,8.506369188566168,-10.651382995764973,8.182755153582548,5,0,0,18,"age:1, Z:5, tau_dust:6, logmass:6",2.535668345629567,2.1277529435577507,0.8682024503140262,5.174229529628551,2.180188778086949
no_irac,6,-0.5489804734806967,-30.826360807584933,19.98664444865608,1.9086506586656746,,0,0,2,16,"age:1, Z:4, afe:1, tau_dust:5, logmass:5",14.186047601101906,42.09402145022634,1.1810965647093004,9.71204971787478,4.83006588395184
mask_cn,6,-13.82439504996978,-110.33136105666472,2.472855669215278,-2.2408509449709264,,0,310,0,13,"age:1, Z:4, afe:3, tau_dust:2, logmass:3",1.609536530992375,3.63194129816742,4.0227839364679,2.295672592681797,1.533193268303138
sfh_cont,6,2.791390255370061,-4.0437858019922714,9.876525493175905,-0.7918457553533491,-4.460534852769342,5,0,0,12,"age:4, Z:2, afe:1, tau_dust:1, logmass:4",7.00302756596733,1.783555865201284,0.9941611067455418,0.3993735098973546,2.960489615971334
emis_wide,6,-2.4449527077608764,-72.64069747271424,96.5668134075695,-4.568777896485619,,0,475,0,24,"age:5, Z:5, afe:3, tau_dust:5, logmass:6",13.657484336358149,7.355849403464945,7.075714803612684,4.340522084423514,8.936439097439177
seed_rep1,2,-0.31596736117398905,-2.5051636813777804,1.8732289590298024,-0.06458003227582676,-0.22256017396284733,0,0,0,0,,0.334759464022614,0.4868837371611211,0.32442950257795533,0.01940734681246462,0.14800560618568243
seed_rep2,2,0.6893634635480339,0.6041685096279252,0.7745584174681426,-2.4357840991170425,1.1034128641331336,1,0,0,0,,1.196949952324447,0.3244731848770879,0.956434844050869,0.31648346911255176,0.4890183727929095
seed_rep3,2,1.9015481245710362,0.2504337081063568,3.5526625410357155,-1.5998325163851286,-0.11852431410807185,0,0,0,0,,0.33899423227056225,0.4043335398333591,0.487902767075747,0.24908767795813835,0.1347668361975717
