,old model (poly3_total reps),old model (poly3_total reps),old model (poly3_total reps),new model (new_default reps),new model (new_default reps),new model (new_default reps)
,max |shift|,rms shift,n repeats,max |shift|,rms shift,n repeats
age,1.196949952324447,0.5272118470616891,6.0,0.33609403091871154,0.24079778533942375,4.0
Z,0.4868837371611211,0.29535335653232747,6.0,0.540302913173465,0.2706522042534682,4.0
afe,0.956434844050869,0.46096489692576914,6.0,0.23245913689495074,0.16500005288476732,4.0
tau_dust,0.31648346911255176,0.1779490262812799,6.0,0.06838690546595863,0.04194138929592376,4.0
logmass,0.4890183727929095,0.22800551491335105,6.0,0.28583312142730316,0.22179690459291704,4.0
dust_index,,,,0.1495132766026917,0.08798644024312975,4.0
lnZ,1.9861661211762112,0.8801453399170845,6.0,3.1329781108361203,2.3161562578326014,4.0
