target,arm,z,sn,seed,n_pix,n_bands,spec_chi2_stored,spec_chi2_raw3,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,t50_q50,t50_hw,dust_index_q50,dust_index_hw,fcalib_max,emission_lines,mask_rest_windows,phot_drop,free_dust_index,sfh_prior
M12_185653,dust_free,0.6776310205459595,21.5,20260923,3577,12,3973.9344972165627,7131.318332494419,4.637647227119583,233877.08781701754,0.21773653106002686,3467.891563676279,True,5901814,383.7821731772274,11.125020116476861,0.0432407635061578,-2.1681800237507214,0.08732574037007756,0.20667996487090365,0.03788921259586091,0.3123138174002633,0.045433054400921186,4.8004699204687284,0.42021508786715733,6.311907471572365,0.12839017060277413,0.9953732735886582,0.02003707307668212,4.839973622273685,0.49487012447945666,0.29579088562159367,0.10527573853740112,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,uniform
M12_185653,dust_wide,0.6776310205459595,21.5,20260923,3577,12,3975.3345803983243,7131.365604812587,4.198240111019978,233874.90701151593,0.24173450143541847,3623.856858844553,True,5969199,392.75980463344604,11.134789060527133,0.035568609895202385,-2.1694286625082357,0.06812151584904136,0.21989734086045287,0.03431696362862598,0.31310829310676286,0.04857190529535024,4.939234355295119,0.3750818633834676,6.309296709056858,0.13025413147329568,0.9971589380991012,0.019905696697982644,5.132779675384322,0.48253375478250904,0.30157321158518197,0.16772103471565633,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,student
M12_185653,emis_wide,0.6776310205459595,21.5,20260923,3280,12,3596.319625951879,6364.883043599464,7.669818774221902,214478.25024794033,0.1607499021812001,3554.377229371366,True,6322650,270.71147997956723,11.034367525841226,0.0856354515798623,-2.037293629721499,0.11154560047528128,0.17273443022256346,0.050968678773598536,0.20718580299495043,0.0320714476556008,4.283451941706291,1.0012468874190539,6.087928994939361,0.12554245654605012,0.9885338636060557,0.025690876445058797,4.242128758951118,1.023702048951953,,,0.1,"3726.0,3728.8,3869.0,3970.1,4101.7,4340.5,4861.3,4958.9,5006.8",,,False,uniform
M12_185653,floor20,0.6776310205459595,21.5,20260923,3577,12,3990.9876275356046,7131.246259548003,11.032989263531789,233869.8202466799,0.27025649307605276,3869.091732319375,True,6370041,279.33339958731085,11.102462379923406,0.04848025341256523,-2.1766326925991706,0.09842896776684018,0.2302046443021316,0.037650951271866656,0.1676562696361415,0.03127672280932768,5.002033966543495,0.42688356157565677,6.2778178901209305,0.12417191209697709,0.9767034175507584,0.02366508275760587,5.055746152164376,0.4876558034342837,,,0.2,"3726.0,3728.8,4861.3,4958.9,5006.8",,,False,uniform
M12_185653,mask_cn,0.6776310205459595,21.5,20260923,3243,12,3636.795871112704,6412.280803646202,9.891695779926263,212051.75275797382,0.2829054129527259,3614.87332241274,True,6217035,272.19469770230353,11.121279894500741,0.029675623873952617,-2.1717944350229015,0.055031881749637135,0.22743604209643287,0.030521702014600346,0.17395475182480813,0.02936698372256623,5.176352631074879,0.3295019176922609,6.212687811302649,0.12701426671879634,0.9868748885538526,0.023537578342384846,5.2083860512798745,0.4121945621935641,,,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8","4142.0:4177.0,4634.0:4720.0",,False,uniform
M12_185653,new_default,0.6776310205459595,21.5,20260923,3577,12,3971.02239737531,7132.439675172285,4.385686034174376,233875.3733813136,0.1962043355500298,3423.437540055448,True,5762196,382.2598093273118,11.135733625345939,0.03645582427611771,-2.171485136738471,0.07172408808324193,0.21265670473146264,0.03486451667982923,0.3057609478990779,0.04665109182059779,5.002553238035603,0.33711352978048525,6.309395456425066,0.1257525531435797,0.997613966317105,0.022992128665473344,5.2282564313170745,0.45763292460310145,0.2574178146424565,0.1364766292204239,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,student
M12_185653,no_irac,0.6776310205459595,21.5,20260923,3577,10,3969.0955755817386,7132.4301669545985,11.454427176553846,233833.29166802866,0.2125098457665844,3597.040853519051,True,5841354,259.4170974250883,11.069783410877953,0.03573919127041503,-2.18342318423453,0.07201003605072365,0.22158530859900108,0.03719409644141465,0.1241228238732838,0.03313793767362991,4.968123872374729,0.32116126815201707,6.317165104184557,0.12628308368045005,0.9779293061920827,0.02091434253602542,4.977541165713248,0.35811834995629255,,,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,"spitzer_irac_ch1,spitzer_irac_ch2",False,uniform
M12_185653,poly3_total,0.6776310205459595,21.5,20260923,3577,12,3968.989243867257,7133.733068386708,11.112189986939814,233871.32484720365,0.2611125135923976,3448.425601404076,True,981500,306.4762258916162,11.100473969475106,0.03469868736242887,-2.1809257106540816,0.07935060201943922,0.22825769126732556,0.03261768953107343,0.17171141472104495,0.029013996854259844,5.017060957077964,0.37046651832292454,6.316725807299052,0.12624781010875052,0.9800314633714657,0.024156740318829584,5.05572166747319,0.454289384805282,,,,,,,,
M12_185653,sfh_cont,0.6776310205459595,21.5,20260923,3577,12,3973.5748108978783,7136.580165728824,10.073788449640306,233870.05753234742,0.2313302771071786,3382.7048018225278,True,5738817,262.35253223218024,11.083441341946303,0.04251334202742019,-2.132031998860429,0.07430346144659161,0.2230480541866438,0.035044110541670837,0.1775086467115019,0.027902002023984337,4.885546110618387,0.41976998909460495,6.308484433291188,0.13509943433048655,0.9822529726127353,0.021057387150575813,5.119723461799545,0.5401994774110643,,,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,False,student
M12_185653,tau_cn,0.6776310205459595,21.5,20260923,3577,12,3966.3484006242684,7134.537122768144,4.064494089696098,233875.47236284328,0.12645953562251983,3547.786118047787,True,5665701,378.9082172829658,11.11999463215561,0.03270111409538856,-2.1503628811018403,0.06399789491635133,0.20644981084436786,0.03291223266400169,0.3067936835906038,0.04836382881430332,4.824065533814702,0.3444266205380906,6.314781640994517,0.1370314759706619,0.999289889472808,0.02110834628277014,5.00670391928036,0.4499629895897268,0.23857149662285243,0.14976649944070905,0.1,"3726.0,3728.8,4861.3,4958.9,5006.8",,,True,student
