arm,target,dlnZ,dlnZ_sig,dchi2_raw3,dchi2_phot,age shift,age > new floor,Z shift,Z > new floor,afe shift,afe > new floor,tau_dust shift,tau_dust > new floor,logmass shift,logmass > new floor,tau new,tau arm,index new,index arm,index hw arm,rail lo new,rail lo arm
dust_wide,M12_185653,-0.4663697976793628,-1.4979505588453874,-1.074070359698453,-0.18744592315439768,-0.18782658406417188,False,0.028672016406098115,False,0.20767923431961066,False,0.1574956752553629,True,-0.0259098467134193,False,0.3057609478990779,0.31310829310676286,0.2574178146424565,0.30157321158518197,0.16772103471565633,4.167826909551528e-05,3.7773816227609355e-09
dust_wide,M12_98104,-0.48951710437540896,-1.8320550409391425,1.9758098073925794,0.08985168188769155,0.260982542532211,False,-0.3089647822355104,False,-0.21307445503782682,False,0.28866395753492796,True,0.2576780386212266,False,0.49444090427409315,0.5153926761662069,-0.08891306104339958,-0.07359209563852945,0.20354158236049946,0.0007928793417333654,3.5686946051247973e-13
dust_wide,M1_206545,24.182713636080734,51.83168623371182,-33.9398023017111,-11.23954177258755,0.37079902698298356,True,4.603251121443109,True,2.0229077138436464,True,-11.653865637224204,True,-3.3220380911251413,True,0.389568047221295,0.20078692441540902,-0.9871278288768465,-1.8962343119248575,0.0957787152061822,0.9803200420413143,0.5773283381389482
dust_wide,M4_108989,28.040336684905924,63.31840985744637,-121.55108832268434,10.738805956048312,-5.977720688516221,True,12.245688954760595,True,4.2781121623800535,True,-3.0123810349460194,True,-4.442837127616701,True,0.34751396820226754,0.16527514989252806,0.10659657157002465,-1.9384585966507157,0.06593976516244349,0.02485955625603321,0.7831002616664395
dust_wide,M5_172669,-0.011202825960936025,-0.033579726174677034,0.4392123247375821,-15.147203086727643,0.12164170095413152,False,-0.06829026650680967,False,-0.22841017983297032,False,-3.7253321649924995,True,-0.3694048478883375,True,0.46964254929028737,0.40962811958648226,-0.9747172693739008,-1.1420733963635186,0.08281875185953724,0.8854211379188355,1.5074326885100004e-16
dust_wide,M5_173928,31.26249348811689,75.46179454885402,11.747392072184084,53.33715050140588,-4.39071393221406,True,24.305376632966517,True,-1.6673005199289883,True,-8.786866619717047,True,-6.582819390515152,True,0.4498857840561493,0.29511888950226567,-0.9788301482491125,-1.7521108410907984,0.1446732125740786,0.8842126383757343,0.20340999146276767
tau_cn,M12_185653,0.09898152967798524,0.42403637005615624,2.097447595859194,-0.3211919444782776,-0.5294587385357234,True,0.29449319191226847,False,-0.17802896693203718,False,0.022137438829887623,False,-0.43172781038006997,True,0.3057609478990779,0.3067936835906038,0.2574178146424565,0.23857149662285243,0.14976649944070905,4.167826909551528e-05,5.5508573555228564e-05
tau_cn,M12_98104,0.16654836331144907,0.5475857102928163,-0.4739390027771151,0.27230220426440965,0.01684645217550524,False,0.14240208034950808,False,-0.08298672571583642,False,-0.0333767494234346,False,-0.08631493148404563,False,0.49444090427409315,0.4920183571490839,-0.08891306104339958,-0.11046680673568213,0.20494308821809848,0.0007928793417333654,0.0007512675476596714
tau_cn,M1_206545,-0.09467368511832319,-0.2179037921693904,-0.7587287881669909,0.00945548450520306,0.27342727598627564,False,-0.1456318234424523,False,0.18341610326859356,False,-0.11987302275356332,True,-0.055174427197067215,False,0.389568047221295,0.38762622254834955,-0.9871278288768465,-0.9869825197418449,0.015260530416464413,0.9803200420413143,0.975274702892508
tau_cn,M4_108989,0.47915102876140736,1.2860619501464998,1.789234441703229,0.21082072499079096,-0.043607119067365814,False,-0.04026424600721317,False,0.060813098060692655,False,0.052437820329162686,False,-0.06774857245838153,False,0.34751396820226754,0.3506862781792145,0.10659657157002465,0.10930713320271253,0.26811635023619845,0.02485955625603321,0.015436793160030032
tau_cn,M5_172669,-1.5433499560167547,-4.0302946776651085,0.04100812061187753,0.7193632075192085,0.008524574617233372,False,-0.15807187871169404,False,-0.12829929498650064,False,0.052308960531449435,False,0.04207481455679822,False,0.46964254929028737,0.47048523721599617,-0.9747172693739008,-0.9737663359662717,0.028094775051250298,0.8854211379188355,0.8694779617652171
tau_cn,M5_173928,-0.591588760522427,-1.3614897530252317,3.1105096662777214,-0.4985878851843708,-0.3881505306309317,True,0.059202677553803665,False,-0.44222890863673797,True,-0.320592697908178,True,-0.4465499303996747,True,0.4498857840561493,0.44423904575690587,-0.9788301482491125,-0.980900706173496,0.019800227027971296,0.8842126383757343,0.9530727963664214
