,order,seed,lnZ,lnZ_err,phot_chi2,spec_chi2_stored,ess,calls,wall_s,us_per_call,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,dust_index_q50,dust_index_hw,t50_q50,t50_hw
old,10.0,20261007.0,249687.64484676483,0.2710802832198563,14.50476328200659,5842.265827498249,3537.1897087101866,5347784.0,723.4977114927024,135.28925466935507,11.157758231319075,0.04081937634215471,-2.115336206455322,0.090806675408724,0.05580155786895657,0.04707697338559135,0.1923039037350343,0.008641306996623077,3.9072280180407617,0.4635671358860103,9.984691176895943,0.01974303747782269,-0.8161059217512526,0.17065946773753576,4.065400136692915,0.5471023214057531
new,10.0,20261007.0,249688.0189459418,0.2830218147070472,14.407438118825723,5843.449062297145,3604.3496774894325,5315506.0,392.96682119742036,73.92839387208299,11.156982060965841,0.034392155386822054,-2.1250504325043553,0.09066663297895672,0.05538966890862344,0.047759393314870904,0.19183578181799532,0.009009873455674194,3.8747542158883226,0.39551974761855013,9.983250467951143,0.02491118772003187,-0.8141859683698569,0.1668082713973988,4.0093463808677665,0.45723615880080004
new - old,0.0,0.0,0.37409917695913464,0.011941531487190904,-0.09732516318086581,1.183234798896592,67.1599687792459,-32278.0,-330.530890295282,-61.36086079727208,-0.0007761703532338515,-0.006427220955332658,-0.009714226049033492,-0.0001400424297672842,-0.00041188896033312467,0.0006824199292795527,-0.0004681219170389883,0.0003685664590511173,-0.03247380215243911,-0.06804738826746015,-0.0014407089448003063,0.00516815024220918,0.0019199533813957226,-0.0038511963401369753,-0.0560537558251486,-0.08986616260495306
