spect_id,catalogue,band,wavelength_angstrom,sedpy_filter,filter_in_sedpy_jax,catalogue_flux_ujy,catalogue_error_ujy,aperture_to_total_mag,ebv,zero_point_mag,total_scale,total_flux_ujy,total_error_ujy
M14_27068,classic,NUV,2314,galex_NUV,True,,,0.0,0.014999999664723873,0.005,1.1213107838040337,,
M14_27068,farmer,NUV,2314,galex_NUV,True,,,0.0,0.014999999664723873,-0.145,1.2874370372481094,,
M14_27068,classic,u,3709,,False,0.1017091979242368,0.009722801548197609,-0.7034000158309937,0.014999999664723873,0.001,2.0433984114348926,0.20783241346670256,0.01986755723828371
M14_27068,farmer,u,3709,,False,0.17809029724884964,0.011808648413565088,0.0,0.014999999664723873,-0.092,1.164643601640869,0.2074117252051932,0.013752866818885177
M14_27068,cosmos2015,u*,3858,cfht_megacam_us_9301,True,0.18000000715255737,0.029999999329447746,-0.2919999957084656,0.014999999664723873,0.01,1.407859188182025,0.2534146639425581,0.0422357747014176
M14_27068,classic,u*,3858,cfht_megacam_us_9301,True,0.10599372409144582,0.005346857038613476,-0.7034000158309937,0.014999999664723873,0.058,1.9316090326292574,0.20473843485705007,0.010328037351963113
M14_27068,farmer,u*,3858,cfht_megacam_us_9301,True,0.21257889322418194,0.009073215094332917,0.0,0.014999999664723873,-0.002,1.0679704131749883,0.22702796842891132,0.009689925273120266
M14_27068,classic,IB427,4266,subaru_suprimecam_ia427,True,0.1125641630246792,0.04049769471443147,-0.7034000158309937,0.014999999664723873,-0.007,2.040315632111197,0.22966642143476615,0.08262807959032152
M14_27068,farmer,IB427,4266,subaru_suprimecam_ia427,True,0.2499654262985933,0.028664831471740537,0.0,0.014999999664723873,-0.111,1.1747280817579542,0.2936414057415558,0.033673382488712794
M14_27068,cosmos2015,B,4488,subaru_suprimecam_B,True,0.4099999964237213,0.029999999329447746,-0.2919999957084656,0.014999999664723873,0.146,1.5817471565868475,0.6485163285438388,0.0474524136369613
M14_27068,classic,B,4488,subaru_suprimecam_B,True,0.2703959124130214,0.00803913511812638,-0.7034000158309937,0.014999999664723873,-0.069,2.152271577323107,0.5819654369108943,0.017302402021003443
M14_27068,classic,IB464,4635,subaru_suprimecam_ia464,True,0.3265574948646037,0.06696355923108586,-0.7034000158309937,0.014999999664723873,0.014,1.9898393079706236,0.6497969395940035,0.13324672235963375
