spect_id,sep_cosmos2015_arcsec,sep_classic_arcsec,sep_farmer_arcsec,sep_cosmos2025_arcsec
M14_27068,0.020791606912733785,0.13325242665066825,0.13276220628315943,
M14_31835,0.03608011113107234,0.15846451743629145,0.15838642124881144,0.14024319468189117
M14_36550,0.031830390472017675,0.14109685948465522,0.14069489902966834,0.131091475353779
M14_37023,0.007258377991871332,0.12285246781447734,0.13017800052768755,0.19050097596054316
M14_37219,0.012824113229772258,0.11879116366902019,0.11821592796701558,0.12463091619232428
M14_37723,0.05941359088846659,0.17947388088845803,0.17970720348991892,0.1813916301323495
M14_37843,0.027259135342549697,0.12827121663337057,0.13750867224153143,0.11812779616768193
M14_38646,0.03249331895756805,0.13737270832148682,0.13732910985083618,0.09834940104097341
M14_38648,0.03167272416499838,0.1533657974503001,0.15248440275720915,0.16758321255060724
M14_38771,0.044250830972280324,0.15101394606649388,0.15193536932513413,0.15096111463301332
M14_39865,0.050025927932278225,0.18972090156878538,0.1891412761642956,0.17903733260616808
M15_77632,0.1024830829960019,0.19376331843842462,0.19275529158222174,
M15_77745,0.03614432224093297,0.16626063636109534,0.16860619785362044,
M4_84337,0.017671236064863132,0.1439847591235119,0.14254260157506332,0.14081718503053905
M15_87207,0.1185797121087857,0.24078334789917138,0.22107309576351197,
M15_88032,0.049233076387752345,0.14118897702005948,0.3780117808231493,0.15618583141862538
M15_89072,0.05892335070945494,0.16869917931328807,,0.1719945650401966
M15_89153,0.0475900757936773,0.11813912320063664,,
M12_91529,0.07837518963372551,0.15239036451297908,0.1512731768257369,0.15429127624110595
M12_92132,0.07294591465501958,0.14442836699365497,0.13875335864760252,
M2_93943,0.047652204392665216,0.09827451773672662,,0.11477541940094796
M2_94494,0.05059494816633926,0.11346987789870826,,0.10569899598754592
M2_97310,0.104418613035215,0.1996019961376477,0.1995436813668714,0.13925067556553422
M12_98104,0.021442573677905877,0.09556869341280182,0.09688523318821356,0.10041352414636912
M12_101089,0.07670425079204704,0.2011415188047397,0.20254580977410605,0.16232482474991958
M12_101830,0.021287098899803552,0.1492399135189137,0.1505643182862508,0.1456396840703725
M12_102456,0.07744537902255605,0.2019694926463614,0.19999784366512863,0.18218509501228186
M14_102968,0.022632630916139318,0.12180691011931996,0.12187028472257523,0.1283668743298073
M14_103366,0.02174131817614483,0.1234362283476403,0.1228738703068912,0.10576599752564346
M14_104877,0.11583702479103587,0.2859280393655137,0.14134897014252606,0.15271531782728945
M4_105474,0.1291728189840206,0.1700290023864913,0.1684366322008599,0.05854880945252537
M3_107362,0.020322639145211464,0.14959538292159802,0.14803820453433378,0.2900703771288874
M4_107370,0.05297360051146874,0.12139059040376936,0.12089785726125353,0.1170833729630631
M4_107643,0.03963346831396583,0.11084451042630025,0.11667256049746583,0.11702493178670006
M4_108989,0.016741836945373983,0.14016785171294224,0.13498859726879758,0.1268340471914228
M3_109352,0.09570077985902757,0.38596734588904485,0.3837932852209181,0.08353947489985633
M3_109713,0.09408498294985138,0.20205908899558872,0.19556415324620013,0.1679881931060378
M3_109843,0.055362960191437535,0.12950607914178647,0.17377546700225524,0.1534512002168006
M3_111390,0.030749740858295793,0.13198081778194629,0.1271217497284742,0.1309061421827164
M4_112534,0.07328262759934352,0.13843776090170593,0.13828969988599774,0.0962325885011124
M7_113852,0.5322784014710715,0.0975020996580884,,0.1340527974496828
M3_117010,0.027429670510516375,0.11864022244563306,0.11773002071157383,0.10284266420416657
M4_117400,0.032694767534190164,0.1265633935981152,0.12425833707208345,0.10172100781965494
M3_117694,0.04943712406526902,0.13233740969902152,0.13193622481630615,0.12462316561269611
M3_119474,0.040328018006379064,0.13633186628530947,0.1349580532770636,0.16628919652596233
M3_119802,0.09439194000107594,0.23439072066706207,0.23440065160896847,0.23011518041925969
M3_119809,0.07596120416706095,0.21144593782570612,0.21012978271195845,0.25611938543424345
