spect_id,catalogue,band,wavelength_angstrom,sedpy_filter,filter_in_sedpy_jax,catalogue_flux_ujy,catalogue_error_ujy,aperture_to_total_mag,ebv,zero_point_mag,total_scale,total_flux_ujy,total_error_ujy,total_flux_ujy_2015,total_error_ujy_2015,flux_ratio,error_ratio
M14_27068,classic,u*,3858,cfht_megacam_us_9301,True,0.10599372409144582,0.005346857038613476,-0.7034000158309937,0.014999999664723873,0.058,1.9316090326292574,0.20473843485705007,0.010328037351963113,0.2534146639425581,0.0422357747014176,0.8079186566072531,0.24453292084675465
M14_27068,farmer,u*,3858,cfht_megacam_us_9301,True,0.21257889322418194,0.009073215094332917,0.0,0.014999999664723873,-0.002,1.0679704131749883,0.22702796842891132,0.009689925273120266,0.2534146639425581,0.0422357747014176,0.8958754197443447,0.22942458950078246
M14_27068,classic,B,4488,subaru_suprimecam_B,True,0.2703959124130214,0.00803913511812638,-0.7034000158309937,0.014999999664723873,-0.069,2.152271577323107,0.5819654369108943,0.017302402021003443,0.6485163285438388,0.0474524136369613,0.8973797748741715,0.36462638451601076
M14_27068,classic,V,5487,subaru_suprimecam_V,True,1.2906257433889539,0.0205884613385223,-0.7034000158309937,0.014999999664723873,0.128,1.7734926908453057,2.2889153225170986,0.03651348569962046,2.489805527047405,0.08585536457718221,0.9193149013655951,0.4252906720440932
M14_27068,classic,r+,6305,subaru_suprimecam_rp,True,2.7557503304556303,0.014898880933401453,-0.7034000158309937,0.014999999664723873,0.044,1.9040094358337132,5.246974631989393,0.028367609880559367,5.5578831952589995,0.10739871015017516,0.9440598961246939,0.2641336180005613
M14_27068,classic,i+,7693,subaru_suprimecam_ip,True,7.684933366004889,0.01939395345810009,-0.7034000158309937,0.014999999664723873,0.058,1.8624476856679648,14.312786362028328,0.036120223733990736,15.152322948630125,0.13700110849491684,0.9445935392581045,0.26364913489244435
M14_27068,classic,z++,9054,subaru_suprimecam_zp,True,13.72398757392304,0.037415168657714444,-0.7034000158309937,0.014999999664723873,0.101,1.7775968133202076,24.395716577451722,0.0665090845757913,25.168135398039805,0.0988924718310352,0.969309652528004,0.672539409161769
M14_27068,classic,Y,10216,vista_vircam_Y,True,17.52911825185124,0.024701719264586017,-0.7034000158309937,0.014999999664723873,0.055,1.8476685033419624,32.38799968530226,0.045640588663570965,33.28360073669681,0.1065501400328143,0.9730918220513592,0.42834846251271946
M14_27068,farmer,Y,10216,vista_vircam_Y,True,40.14946934334012,0.024687051070298942,0.0,0.014999999664723873,0.039,0.9809888004642124,39.386179770397895,0.024217720616451312,33.28360073669681,0.1065501400328143,1.1833509265412108,0.22728943020622
M14_27068,classic,J,12525,vista_vircam_J,True,25.65902277943583,0.029541041676361797,-0.7034000158309937,0.014999999664723873,0.028,1.885358560566314,48.3764582529754,0.055695455812574964,49.764343653818884,0.16144150054014314,0.9721108468646108,0.34498846719233783
M14_27068,farmer,J,12525,vista_vircam_J,True,59.35815276885664,0.028345484033747297,0.0,0.014999999664723873,0.005,1.00747424086055,59.801809899688394,0.028557345008724398,49.764343653818884,0.16144150054014314,1.2016999624408637,0.1768897397086785
M14_27068,classic,H,16466,vista_vircam_H,True,38.22256199209482,0.04118900828282994,-0.7034000158309937,0.014999999664723873,-0.043,2.004169763717307,76.60450303636678,0.08254976499794947,76.06637911500216,0.2497163739698984,1.0070743990659927,0.3305740976677015
M14_27068,farmer,H,16466,vista_vircam_H,True,96.48941543128599,0.03761841956160599,0.0,0.014999999664723873,-0.049,1.054324987570091,101.73120172523596,0.03966203973669671,76.06637911500216,0.2497163739698984,1.3374003457090027,0.15882835036471293
M14_27068,classic,Ks,21557,vista_vircam_Ks,True,53.269700510241556,0.05985711293193209,-0.7034000158309937,0.014999999664723873,0.0,1.9210652087054443,102.33456832838371,0.11498941714708746,101.64793489904683,0.21023357316864205,1.0067550160268266,0.546960294752004
M14_27068,farmer,Ks,21557,vista_vircam_Ks,True,138.12754849104775,0.05413790878947182,0.0,0.014999999664723873,0.0,1.0050371158792573,138.82331295891487,0.05441060770950505,101.64793489904683,0.21023357316864205,1.365726840361187,0.25881026940382523
M14_27068,classic,ch1,35686,spitzer_irac_ch1,True,100.38761704302948,0.2237541975476915,0.0,0.014999999664723873,-0.067,1.066031671541966,107.01637919849547,0.23852906122629683,97.61904753023347,0.5876535652208241,1.0962653488844127,0.40590081528164323
M14_27068,farmer,ch1,35686,spitzer_irac_ch1,True,118.19522863211846,0.02721208243444716,0.0,0.014999999664723873,-0.184,1.1873263543210757,140.33630990991924,0.03230962263037673,97.61904753023347,0.5876535652208241,1.43759146867783,0.05498073106769234
M14_27068,classic,ch2,45067,spitzer_irac_ch2,True,71.08210066943644,0.14926939786669355,0.0,0.014999999664723873,-0.091,1.0890986947772532,77.41542306110854,0.16256910638680244,69.96496181546469,0.27914205459867264,1.1064884629722909,0.5823884424026715
M14_27068,farmer,ch2,45067,spitzer_irac_ch2,True,72.20384633198442,0.029064454037610328,0.0,0.014999999664723873,-0.186,1.1886862458535867,85.82771903255583,0.03454851675775114,69.96496181546469,0.27914205459867264,1.2267243032152262,0.12376679252942428
M14_31835,classic,u*,3858,cfht_megacam_us_9301,True,0.0964717884028646,0.005534703248615642,-0.36739999055862427,0.014999999664723873,0.058,1.417487433710598,0.1367475477686484,0.007845372304229896,0.1704069330290478,0.03773296296482145,0.8024764329590875,0.2079182679490121
M14_31835,farmer,u*,3858,cfht_megacam_us_9301,True,0.11927800420722043,0.004147180901690096,0.0,0.014999999664723873,-0.002,1.0679704131749883,0.1273853794358732,0.004429066501089393,0.1704069330290478,0.03773296296482145,0.7475363658716803,0.11737923961122863
M14_31835,cosmos2025,u*,3858,cfht_megacam_us_9301,True,0.10833105,0.01638509,0.0,0.014999999664723873,0.0,1.066004949786929,0.1154814355156153,0.017466587042704314,0.1704069330290478,0.03773296296482145,0.6776803822643188,0.4628999598835762
M14_31835,classic,B,4488,subaru_suprimecam_B,True,0.25765577823609404,0.008948950357096726,-0.36739999055862427,0.014999999664723873,-0.069,1.5794179170074056,0.4069461525665737,0.01413413253240839,0.4376097948621443,0.02735061217888402,0.929929259683892,0.5167757284541008
M14_31835,classic,V,5487,subaru_suprimecam_V,True,1.3736626706548534,0.023380712591560666,-0.36739999055862427,0.014999999664723873,0.128,1.3014557089893877,1.787761124949368,0.03042896188252669,1.8450946458421347,0.07422794543157335,0.968926514950349,0.40993943326341253
